# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,150,24343928,101643,134409,162292,349575,1112768894214,63526873,1185603180,7418459294,218475621026
single,dive.deco_schedule.rate,8698,16338799,1413,1921,1878,1952,5283456281860,99500,12006273,607433465,1199373738970
single,dive.display_refresh,891,239468166,105,21930,268763,3255855,54962193125436,6625,137725090,61685963103,6526706220134
single,dive.o2_tox,89,23674,266,266,266,266,2805222457,16625,1662559,31519353,1662550058
single,dive.o2_tox.rate,8563,16190905,1126,1939,1890,1955,1679509425455,113250,12118733,196135633,121187500020
single,dive.rate_and_logging,2965,38161763,1347,12015,12870,14781,7369334759709,737312,92381295,2485441740,923812400162
single,flash.init.reset_pos,4,51980,12995,12995,12995,12995,324874911,81218721,81218730,81218727,81218730
single,flash.point.write,5,87775,17555,17555,17555,17555,222729153,1097187,1097187,44545830,109718796
single,flash.serial.write,1,12563,12563,12563,12563,12563,78518721,78518721,78518721,78518721,78518721
single,task.mode.tick.loop,557,959761736,4902,1643466,1723091,4568475,323594336297575178428869,26951000,90015937823,580959311126705885868,269426872264233023302330
