time_ms,depth_m
4503,0.551
4911,0.689
5115,0.758
5523,0.895
5727,0.964
6135,1.102
6339,1.171
6747,1.308
6951,1.377
7359,1.515
7563,1.584
7971,1.722
8175,1.790
8583,1.928
8787,1.997
9195,2.204
9603,2.341
9807,2.410
10011,2.479
10215,2.548
10419,2.617
10623,2.686
10827,2.755
11031,2.823
11235,2.892
11439,2.961
11643,3.030
11847,3.099
12051,3.168
12255,3.237
12459,3.306
12663,3.374
12867,3.443
13071,3.512
13275,3.581
13479,3.650
13683,3.719
13887,3.788
14091,3.856
14295,3.925
14499,3.994
14703,4.063
14907,4.132
15111,4.201
15315,4.270
15519,4.338
15723,4.407
15927,4.476
16131,4.545
16335,4.614
16539,4.683
16743,4.752
16947,4.821
17151,4.889
17355,4.958
17559,5.027
17763,5.096
17967,5.165
18171,5.234
18375,5.303
18579,5.371
18783,5.440
18987,5.509
19191,5.578
19395,5.716
19599,5.785
19803,5.854
20007,5.922
20211,5.991
20415,6.060
20619,6.129
20823,6.198
21027,6.267
21231,6.336
21435,6.404
21639,6.473
21843,6.542
22047,6.611
22251,6.680
22455,6.749
22659,6.818
22863,6.886
23067,6.955
23271,7.024
23475,7.093
23679,7.162
23883,7.231
24087,7.300
24291,7.369
24495,7.437
24699,7.506
24903,7.575
25107,7.644
25311,7.713
25515,7.782
25719,7.851
25923,7.919
26127,7.988
26331,8.057
26535,8.126
26739,8.195
26943,8.264
27147,8.333
27351,8.402
27555,8.470
27759,8.539
27963,8.608
28167,8.677
28371,8.746
28575,8.815
28779,8.884
28983,8.952
29187,9.021
29391,9.090
29595,9.228
29799,9.297
30003,9.366
30207,9.434
30411,9.503
30615,9.572
30819,9.641
31023,9.710
31227,9.779
31431,9.848
31635,9.917
31839,9.985
32043,10.054
32247,1.123
32451,10.192
32655,10.261
32859,1.330
33063,10.399
33267,10.467
33471,1.536
33675,10.605
33879,10.674
34083,1.743
34287,10.812
34491,10.881
34695,1.950
34899,11.018
35103,11.087
35307,11.156
35511,11.225
35715,11.294
35919,11.363
36123,11.432
36327,11.500
36531,11.569
36735,11.638
36939,11.707
37143,11.776
37347,11.845
37551,11.914
37755,11.982
37959,12.051
38163,12.120
38375,12.189
38579,12.258
38783,12.327
38987,12.396
39191,12.465
39395,12.602
39599,12.671
39803,12.740
40007,12.809
40211,12.878
40415,12.947
40619,13.015
40823,13.084
41027,13.153
41231,13.222
41435,13.291
41639,13.360
41843,13.429
42047,13.498
42251,13.566
42455,13.635
42659,13.704
42863,13.773
43067,13.842
43271,13.911
43475,13.980
43679,14.048
43883,14.117
44087,14.186
44291,14.255
44495,14.324
44699,14.393
44903,14.462
45107,14.530
45311,14.599
45515,14.668
45719,14.737
45923,14.806
46127,14.875
46331,14.944
46535,15.013
46739,15.081
46943,15.150
47147,15.219
47351,15.288
47555,15.357
47759,15.426
47963,15.495
48167,15.563
48371,15.632
48575,15.701
48779,15.770
48983,15.839
49187,15.908
49595,16.114
49799,16.183
50003,16.252
50207,16.321
50411,16.390
50615,16.459
50819,16.528
51023,16.596
51227,16.665
51431,16.734
51635,16.803
51839,16.872
52043,16.941
52451,17.078
52655,17.147
52859,17.216
53063,17.285
53267,17.354
53471,17.423
53675,17.492
53879,17.561
54083,17.629
54287,17.698
54491,17.767
54695,17.836
54899,17.905
55103,17.974
55511,18.111
55715,18.180
55919,18.249
56123,18.318
56327,18.387
56531,18.456
56735,18.525
56939,18.594
57143,18.662
57347,18.731
57551,18.800
57755,18.869
57959,18.938
58163,19.007
58367,19.076
58571,19.144
58775,19.213
58979,19.282
59183,19.351
59387,19.420
59591,19.489
59795,19.626
59999,19.695
60203,19.764
60407,19.833
60611,19.902
60815,19.971
61019,2.040
61223,20.109
61427,20.177
61631,2.246
61835,20.315
62039,20.384
62243,2.453
62447,20.522
62651,20.591
62855,2.659
63059,20.664
63286,20.668
63490,20.672
63694,20.677
63898,20.681
64102,20.685
64306,20.690
64510,20.694
64714,20.698
64918,20.703
65122,20.707
65326,20.711
65734,20.720
65938,20.724
66142,20.728
66346,20.733
66550,20.737
66754,20.741
66958,20.745
67162,20.750
67366,20.754
67570,20.758
67774,20.762
67978,20.766
68182,20.771
68386,20.775
68590,20.779
68794,20.783
68998,20.791
69202,20.795
69406,20.799
69610,20.803
69814,20.808
70018,20.812
70222,2.816
70426,20.820
70630,20.824
70834,20.828
71038,20.831
71242,20.835
71446,20.839
71650,20.843
71854,20.847
72058,20.851
72262,20.855
72466,20.859
72670,20.862
72874,2.866
73078,20.870
73282,20.873
73486,20.877
73690,20.881
73894,20.884
74098,20.888
74302,20.892
74506,20.895
74710,20.899
74914,20.902
75118,20.906
75322,20.909
75526,20.913
75730,20.916
75934,2.919
76138,20.923
76342,20.926
76546,20.929
76750,20.933
76954,20.936
77158,20.939
77362,20.942
77566,20.945
77770,20.949
78178,20.955
78382,20.958
78586,20.961
78790,20.964
79198,20.972
79402,20.975
79606,20.978
79810,2.981
80014,20.983
80218,20.986
80422,20.989
80626,2.991
80830,20.994
81034,20.996
81238,20.999
81442,21.001
81646,21.004
81850,21.006
82054,21.008
82258,21.011
82462,21.013
82666,21.015
82870,21.017
83074,21.019
83278,21.022
83482,21.024
83686,21.026
83890,21.028
84094,21.030
84298,21.031
84502,21.033
84706,21.035
84910,21.037
85114,21.039
85318,21.040
85522,21.042
85726,21.044
85930,21.045
86134,21.047
86338,21.048
86542,21.050
86746,21.051
86950,21.052
87154,21.054
87358,21.055
87562,21.056
87766,21.057
87970,21.059
88174,21.060
88378,21.061
88582,21.062
88786,21.063
88990,21.064
89194,21.064
89398,21.066
89602,21.067
89806,21.068
90010,21.068
90214,21.069
90418,21.069
90622,21.070
90826,21.070
91030,21.071
91234,21.071
91438,21.072
91642,21.072
91846,21.072
92050,21.072
92254,21.072
92458,21.073
92662,21.073
92866,21.073
93070,21.073
93274,21.073
93478,21.072
93682,21.072
93886,21.072
94090,21.072
94294,21.072
94498,21.071
94702,21.071
94906,21.070
95110,21.070
95314,21.069
95518,21.069
95722,21.068
95926,21.068
96130,21.067
96334,21.066
96538,21.065
96742,21.064
96946,21.064
97150,21.063
97354,21.062
97558,21.061
97762,21.060
97966,21.059
98170,21.057
98374,21.056
98578,21.055
98782,21.054
98986,21.052
99190,21.051
99394,21.050
99598,21.047
99802,21.045
100006,21.044
100210,21.042
100414,21.040
100618,21.039
100822,21.037
101026,21.035
101230,21.033
101434,21.031
101638,21.030
101842,21.028
102046,21.026
102250,21.024
102454,21.022
102658,21.019
102862,21.017
103066,21.015
103270,21.013
103474,21.011
103678,21.008
103882,21.006
104086,21.004
104290,21.001
104494,20.999
104698,20.996
104902,20.994
105106,20.991
105310,20.989
105514,20.986
105718,20.983
105922,20.981
106126,20.978
106330,20.975
106534,20.972
106738,20.969
106942,20.967
107146,20.964
107350,20.961
107554,20.958
107758,20.955
107962,20.952
108166,20.949
108370,20.945
108574,20.942
108778,20.939
108982,20.936
109186,20.933
109390,20.929
109594,20.926
109798,20.919
110002,20.916
110206,20.913
110410,20.909
110614,20.906
110818,20.902
111022,20.899
111226,20.895
111430,20.892
111634,20.888
111838,20.884
112042,20.881
112246,20.877
112450,20.873
112654,20.870
112858,20.866
113062,20.862
113266,20.859
113470,20.855
113674,20.851
113878,20.847
