time_ms,depth_m
4509,0.551
4917,0.689
5121,0.758
5529,0.895
5733,0.964
6141,1.102
6345,1.171
6753,1.308
6957,1.377
7365,1.515
7569,1.584
7977,1.722
8181,1.790
8589,1.928
8793,1.997
9201,2.204
9609,2.341
9813,2.410
10017,2.479
10221,2.548
10425,2.617
10629,2.686
10833,2.755
11037,2.823
11241,2.892
11445,2.961
11649,3.030
11853,3.099
12057,3.168
12261,3.237
12465,3.306
12669,3.374
12873,3.443
13077,3.512
13281,3.581
13485,3.650
13689,3.719
13893,3.788
14097,3.856
14301,3.925
14505,3.994
14709,4.063
14913,4.132
15117,4.201
15321,4.270
15525,4.338
15729,4.407
15933,4.476
16137,4.545
16341,4.614
16545,4.683
16749,4.752
16953,4.821
17157,4.889
17361,4.958
17565,5.027
17769,5.096
17973,5.165
18177,5.234
18381,5.303
18585,5.371
18789,5.440
18993,5.509
19197,5.578
19401,5.716
19605,5.785
19809,5.854
20013,5.922
20217,5.991
20421,6.060
20625,6.129
20829,6.198
21033,6.267
21237,6.336
21441,6.404
21645,6.473
21849,6.542
22053,6.611
22257,6.680
22461,6.749
22665,6.818
22869,6.886
23073,6.955
23277,7.024
23481,7.093
23685,7.162
23889,7.231
24093,7.300
24297,7.369
24501,7.437
24705,7.506
24909,7.575
25113,7.644
25317,7.713
25521,7.782
25725,7.851
25929,7.919
26133,7.988
26337,8.057
26541,8.126
26745,8.195
26949,8.264
27153,8.333
27357,8.402
27561,8.470
27765,8.539
27969,8.608
28173,8.677
28377,8.746
28581,8.815
28785,8.884
29193,9.021
29397,9.090
29601,9.228
29805,9.297
30009,9.366
30213,9.434
30417,9.503
30621,9.572
30825,9.641
31029,9.710
31233,9.779
31437,9.848
31641,9.917
31845,9.985
32049,10.054
32253,1.123
32457,10.192
32661,10.261
32865,1.330
33069,10.399
33273,10.467
33477,1.536
33681,10.605
33885,10.674
34089,1.743
34293,10.812
34497,10.881
34701,1.950
34905,11.018
35109,11.087
35313,11.156
35517,11.225
35721,11.294
35925,11.363
36129,11.432
36333,11.500
36537,11.569
36741,11.638
36945,11.707
37149,11.776
37353,11.845
37557,11.914
37761,11.982
37965,12.051
38169,12.120
38373,12.189
38577,12.258
38793,12.327
38997,12.396
39201,12.533
39405,12.602
39609,12.671
39813,12.740
40017,12.809
40221,12.878
40425,12.947
40629,13.015
40833,13.084
41037,13.153
41241,13.222
41445,13.291
41853,13.429
42057,13.498
42261,13.566
42465,13.635
42669,13.704
42873,13.773
43077,13.842
43281,13.911
43485,13.980
43689,14.048
43893,14.117
44097,14.186
44301,14.255
44505,14.324
44913,14.462
45117,14.530
45321,14.599
45525,14.668
45729,14.737
45933,14.806
46137,14.875
46341,14.944
46545,15.013
46749,15.081
46953,15.150
47157,15.219
47361,15.288
47565,15.357
47769,15.426
47973,15.495
48177,15.563
48381,15.632
48585,15.701
48789,15.770
49005,15.908
49209,15.977
49413,16.046
49617,16.114
49821,16.183
50025,16.252
50229,16.321
50433,16.390
50637,16.459
50841,16.528
51045,16.596
51249,16.665
51453,16.734
51657,16.803
51861,16.872
52065,16.941
52269,17.010
52473,17.078
52677,17.147
52881,17.216
53085,17.285
53289,17.354
53493,17.423
53901,17.561
54116,17.629
54320,17.698
54524,17.767
54728,17.836
54932,17.905
55136,17.974
55340,18.043
55544,18.111
55748,18.180
55952,18.249
56156,18.318
56360,18.387
56564,18.456
56768,18.525
56972,18.594
57176,18.662
57380,18.731
57584,18.800
57788,18.869
57992,18.938
58196,19.007
58400,19.076
58604,19.213
58808,19.282
59012,19.351
59228,19.420
59432,19.489
59840,19.626
60044,19.695
60248,19.764
60452,19.833
60656,19.902
60860,19.971
61064,2.040
61268,20.109
61472,20.177
61676,2.246
61880,20.315
62084,20.384
62288,2.453
62492,20.522
62900,2.659
63104,20.664
63331,20.668
63535,20.672
63739,20.677
63943,20.681
64147,20.685
64351,20.690
64555,20.694
64759,20.698
64963,20.703
65167,20.707
65371,20.711
65575,20.716
65779,20.720
66187,20.728
66391,20.733
66595,20.737
66799,20.741
67207,20.754
67411,20.758
67615,20.762
67819,20.766
68023,20.771
68227,20.775
68431,20.779
68635,20.783
68839,20.787
69043,20.791
69247,20.795
69451,20.799
69655,20.803
69859,20.808
70063,20.812
70267,2.816
70471,20.820
70675,20.824
70879,20.828
71083,20.831
71287,20.835
71491,20.839
71695,20.843
71899,20.847
72103,20.851
72307,20.855
72511,20.859
72715,20.862
72919,2.866
73123,20.870
73327,20.873
73531,20.877
73735,20.881
73939,20.884
74143,20.888
74347,20.892
74551,20.895
74755,20.899
74959,20.902
75163,20.906
75367,20.909
75571,20.913
75775,20.916
75979,2.919
76183,20.923
76387,20.926
76591,20.929
76795,20.933
76999,20.936
77203,20.942
77407,20.945
77611,20.949
77815,20.952
78019,20.955
78223,20.958
78427,20.961
78631,20.964
78835,20.967
79039,20.969
79243,20.972
79447,20.975
79855,2.981
80059,20.983
80263,20.986
80467,20.989
80671,2.991
80875,20.994
81079,20.996
81283,20.999
81487,21.001
81691,21.004
81895,21.006
82099,21.008
82303,21.011
82507,21.013
82711,21.015
82915,21.017
83119,21.019
83323,21.022
83527,21.024
83731,21.026
83935,21.028
84139,21.030
84343,21.031
84547,21.033
84751,21.035
84955,21.037
85159,21.039
85363,21.040
85567,21.042
85771,21.044
85975,21.045
86179,21.047
86383,21.048
86587,21.050
86791,21.051
86995,21.052
87199,21.054
87403,21.056
87607,21.057
87811,21.059
88015,21.060
88219,21.061
88423,21.062
88627,21.063
88831,21.064
89035,21.064
89443,21.066
89647,21.067
89851,21.068
90055,21.068
90259,21.069
90463,21.069
90667,21.070
90871,21.070
91075,21.071
91279,21.071
91483,21.072
91687,21.072
91891,21.072
92095,21.072
92299,21.072
92503,21.073
92707,21.073
92911,21.073
93115,21.073
93319,21.073
93523,21.072
93727,21.072
93931,21.072
94135,21.072
94339,21.072
94543,21.071
94747,21.071
94951,21.070
95155,21.070
95359,21.069
95563,21.069
95767,21.068
95971,21.068
96175,21.067
96379,21.066
96787,21.064
96991,21.064
97195,21.063
97399,21.062
97603,21.060
97807,21.059
98011,21.057
98215,21.056
98419,21.055
98623,21.054
98827,21.052
99031,21.051
99235,21.050
99439,21.048
99643,21.047
99847,21.045
100051,21.044
100255,21.042
100459,21.040
100663,21.039
100867,21.037
101071,21.035
101275,21.033
101479,21.031
101683,21.030
101887,21.028
102091,21.026
102295,21.024
102499,21.022
102703,21.019
102907,21.017
103111,21.015
103315,21.013
103519,21.011
103723,21.008
103927,21.006
104131,21.004
104335,21.001
104539,20.999
104743,20.996
104947,20.994
105151,20.991
105355,20.989
105559,20.986
105763,20.983
105967,20.981
106171,20.978
106375,20.975
106579,20.972
106783,20.969
106987,20.967
107191,20.964
107395,20.961
107599,20.958
107803,20.952
108007,20.949
108211,20.945
108415,20.942
108619,20.939
108823,20.936
109027,20.933
109231,20.929
109435,20.926
109639,20.923
109843,20.919
110047,20.916
110251,20.913
110455,20.909
110659,20.906
110863,20.902
111067,20.899
111475,20.892
111679,20.888
111883,20.884
112087,20.881
112291,20.877
112495,20.873
112699,20.870
112903,20.866
113107,20.862
113311,20.859
113515,20.855
113719,20.851
113923,20.847
114127,20.843
114331,20.839
114535,20.835
114739,20.831
114943,20.828
115147,20.824
115351,20.820
115555,20.816
115759,20.812
115963,20.808
116167,20.803
116371,20.799
116575,20.795
116779,20.791
116983,20.787
117187,20.783
117391,20.779
117595,20.775
117799,20.771
118003,20.762
118207,20.758
118411,20.754
118615,20.750
118819,20.745
119023,20.741
119227,20.737
119431,20.733
119635,20.728
119839,20.724
120043,20.720
120247,20.716
120451,20.711
120655,20.707
120859,20.703
121063,20.698
121267,20.694
121471,20.690
121675,20.685
121879,20.681
122083,20.677
122287,20.672
122491,20.668
122695,20.664
122899,20.659
123103,20.655
123511,20.646
123738,20.642
123942,20.638
124146,20.634
124350,20.629
124554,20.625
124758,20.621
124962,20.616
125166,20.612
125370,20.608
125574,20.603
125778,20.599
125982,20.595
126186,20.591
126390,20.586
126594,20.582
126798,20.578
127002,20.569
127206,20.565
127410,20.561
127614,20.557
127818,20.553
128022,20.548
128226,20.544
128430,20.540
128634,20.536
128838,20.532
129042,20.528
129246,20.524
129450,20.519
129654,20.515
129858,20.511
130062,20.507
130266,20.503
130470,20.499
130674,20.495
130878,20.491
131082,20.487
131286,20.484
131490,20.480
131694,20.476
131898,20.472
132102,20.468
132306,20.464
132510,20.460
132714,20.457
132918,20.453
133122,20.449
133326,20.445
133530,20.442
133734,20.438
133938,20.434
134142,20.431
134346,20.427
134550,20.424
134754,20.420
134958,20.417
135162,20.413
135366,20.410
135570,20.406
135774,20.403
135978,20.399
136182,20.396
136590,20.389
136794,20.386
136998,20.383
137202,20.377
137406,20.373
137610,20.370
137814,20.367
138018,20.364
138222,20.361
138426,20.358
138630,20.355
138834,20.352
139038,20.350
139242,20.347
139446,20.344
139650,20.341
139854,20.338
140058,20.336
140262,20.333
140466,20.330
140670,20.328
140874,20.325
141078,20.323
141282,20.320
141486,20.318
141690,20.315
141894,20.313
142098,20.311
142302,20.308
142506,20.306
142710,20.304
142914,20.302
143118,20.299
143322,20.297
143526,20.295
143730,20.293
143934,20.291
144138,20.289
144342,20.287
144546,20.286
144750,20.284
144954,20.282
145158,20.280
145362,20.279
145566,20.277
145770,20.275
145974,20.274
146178,20.272
146382,20.271
146586,20.269
146790,20.268
147198,20.265
147402,20.263
147606,20.261
147810,20.260
148014,20.259
148218,20.258
148422,20.257
148626,20.256
148830,20.255
149034,20.254
149238,20.254
149442,20.253
149646,20.252
149850,20.251
150054,20.251
150258,20.250
150462,20.250
150666,20.249
150870,20.249
151074,20.248
151278,20.248
151482,20.247
151686,20.247
151890,20.247
152094,20.247
152298,20.246
152502,20.246
152706,20.246
152910,20.246
153114,20.246
153318,20.246
153522,20.246
153726,20.247
153930,20.247
154134,20.247
154338,20.247
154542,20.248
154746,20.248
154950,20.249
155154,20.249
155358,20.250
155562,20.250
155766,20.251
155970,20.251
156174,20.252
156378,20.253
156582,20.254
156786,20.254
156990,20.255
157194,20.256
157398,20.257
157602,20.259
157806,20.260
158010,20.261
158214,20.263
158418,20.264
158622,20.265
159030,20.268
159234,20.269
159438,20.271
159642,20.272
159846,20.274
160050,20.275
160254,20.277
160458,20.279
160662,20.280
160866,20.282
161070,20.284
161274,20.286
161478,20.287
161682,20.289
161886,20.291
162090,20.293
162294,20.295
162498,20.297
162702,20.299
162906,20.302
163110,20.304
163314,20.306
163518,20.308
163722,20.311
163926,20.313
164130,20.315
164334,20.318
164538,20.320
164742,20.323
164946,20.325
165150,20.328
165354,20.330
165558,20.333
165762,20.336
165966,20.338
166170,20.341
166374,20.344
166578,20.347
166782,20.350
166986,20.352
167190,20.355
167394,20.358
167598,20.361
167802,20.367
168006,20.370
168210,20.373
168414,20.377
168618,20.380
168822,20.383
169026,20.386
169230,20.389
169638,20.396
169842,20.399
170046,20.403
170250,20.406
170454,20.410
170658,20.413
170862,20.417
171066,20.420
171270,20.424
171474,20.427
171678,20.431
171882,20.434
172086,20.438
172290,20.442
172494,20.445
172698,20.449
172902,20.453
173106,20.457
173310,20.460
173514,20.464
173718,20.468
173922,20.472
174126,20.476
174330,20.480
174534,20.484
174738,20.487
174942,20.491
175146,20.495
175350,20.499
175554,20.503
175758,20.507
175962,20.511
176166,20.515
176370,20.519
176574,20.524
176778,20.528
176982,20.532
177186,20.536
177390,20.540
177594,20.544
177798,20.548
178002,20.557
178206,20.561
178410,20.565
178614,20.569
178818,20.574
179022,20.578
179226,20.582
179430,20.586
179634,20.591
179838,20.595
180042,20.599
180246,20.603
180450,20.608
180654,20.612
180858,20.616
181062,20.621
181266,20.625
181470,20.629
181674,20.634
181878,20.638
182082,20.642
182286,20.646
182694,20.655
182898,20.659
183102,20.642
183306,20.624
183510,20.606
183714,20.589
183918,20.571
184122,20.553
184326,20.536
184530,20.518
184734,20.500
184938,20.482
185346,20.447
185550,20.429
