time_ms,depth_m,pa
4773,0.620,101108.0
5385,0.826,103134.0
5793,0.964,104484.7
6405,1.171,106510.7
7017,1.377,108536.7
8649,1.928,113939.3
10281,2.548,120017.3
10689,2.686,121368.0
11301,2.892,123394.0
11913,3.099,125420.0
13545,3.650,130822.7
13953,3.788,132173.3
15177,4.201,136225.3
16197,4.545,139602.0
16809,4.752,141628.0
17829,5.096,145004.7
18237,5.234,146355.3
18849,5.440,148381.3
19257,5.578,149732.0
20481,6.060,154459.3
20889,6.198,155810.0
21501,6.404,157836.0
22113,6.611,159862.0
23133,6.955,163238.7
23745,7.162,165264.7
24153,7.300,166615.3
25377,7.713,170667.3
27009,8.264,176070.0
27417,8.402,177420.7
28029,8.608,179446.7
28641,8.815,181472.7
29661,9.228,185524.7
30273,9.434,187550.7
31293,9.779,190927.3
31905,9.985,192953.3
32313,10.123,194304.0
34149,10.743,200382.0
34761,10.950,202408.0
35373,11.156,204434.0
35985,11.363,206460.0
37209,11.776,210512.0
37617,11.914,211862.7
38229,12.120,213888.7
38841,12.327,215914.7
39453,12.533,217940.7
40065,12.809,220642.0
40677,13.015,222668.0
41289,13.222,224694.0
42513,13.635,228746.0
43737,14.048,232798.0
44757,14.393,236174.7
45369,14.599,238200.7
46593,15.013,242252.7
47205,15.219,244278.7
47817,15.426,246304.7
48225,15.563,247655.3
49041,15.839,250356.7
49449,15.977,251707.3
50061,16.252,254408.7
50673,16.459,256434.7
51285,16.665,258460.7
51897,16.872,260486.7
52509,17.078,262512.7
53121,17.285,264538.7
54345,17.698,268590.7
54753,17.836,269941.3
55569,18.111,272642.7
55977,18.249,273993.3
56590,18.456,276019.3
57813,18.869,280071.3
58425,19.076,282097.3
58833,19.213,283448.0
59649,19.489,286149.3
60057,19.626,287500.0
60873,19.971,290876.7
61281,20.109,292227.3
61893,20.315,294253.3
62505,20.522,296279.3
63121,20.728,298305.3
64373,21.142,302357.3
64985,21.348,304383.3
65597,21.555,306409.3
66209,21.761,308435.3
66617,21.899,309786.0
67433,22.174,312487.3
67841,22.312,313838.0
68657,22.588,316539.3
69677,23.001,320591.3
70289,23.207,322617.3
71513,23.621,326669.3
72125,23.827,328695.3
72737,24.034,330721.3
73145,24.172,332072.0
73961,24.447,334773.3
74369,24.585,336124.0
75185,24.860,338825.3
75593,24.998,340176.0
76817,25.411,344228.0
78041,25.824,348280.0
78449,25.962,349630.7
79265,26.306,353007.3
79673,26.444,354358.0
80489,26.720,357059.3
80897,26.857,358410.0
81509,27.064,360436.0
82121,27.270,362462.0
84569,28.097,370566.0
84977,28.235,371916.7
85793,28.510,374618.0
86201,28.648,375968.7
87017,28.923,378670.0
88037,29.268,382046.7
88649,29.474,384072.7
89261,29.750,386774.0
89873,29.956,388800.0
90281,30.094,390150.7
91097,30.369,392852.0
92321,30.783,396904.0
92729,30.920,398254.7
94565,31.540,404332.7
95177,31.747,406358.7
96401,32.160,410410.7
96809,32.298,411761.3
97625,32.573,414462.7
98033,32.711,415813.3
98849,32.986,418514.7
99257,33.124,419865.3
100481,33.606,424592.7
102113,34.157,429995.3
102929,34.432,432696.7
103337,34.570,434047.3
104153,34.846,436748.7
105173,35.190,440125.3
105785,35.397,442151.3
107009,35.810,446203.3
108233,36.223,450255.3
108641,36.361,451606.0
109457,36.636,454307.3
109865,36.843,456333.3
110681,37.118,459034.7
111701,37.462,462411.3
112313,37.669,464437.3
112925,37.876,466463.3
113537,38.082,468489.3
114149,38.289,470515.3
114761,38.495,472541.3
115169,38.633,473892.0
115985,38.909,476593.3
117209,39.322,480645.3
117617,39.460,481996.0
118841,39.873,486048.0
119453,40.079,488074.0
120677,40.561,492801.3
121289,40.768,494827.3
122513,41.181,498879.3
122921,41.319,500230.0
123761,41.594,502931.3
124169,41.732,504282.0
124985,42.008,506983.3
126209,42.421,511035.3
126617,42.558,512386.0
127841,42.972,516438.0
128453,43.178,518464.0
129065,43.454,521165.3
130289,43.867,525217.4
130697,44.005,526568.0
131513,44.280,529269.4
131921,44.418,530620.0
132737,44.693,533321.3
134369,45.244,538724.0
134981,45.451,540750.0
135593,45.657,542776.0
136817,46.071,546828.0
138041,46.484,550880.0
140285,47.310,558984.0
140897,47.517,561010.0
141509,47.723,563036.0
142121,47.930,565062.0
142529,48.068,566412.6
143345,48.343,569114.0
144569,48.756,573166.0
144977,48.894,574516.7
145589,49.101,576542.7
146813,49.514,580594.6
147425,49.720,582620.7
148037,49.927,584646.6
148649,50.134,586672.6
149057,50.271,588023.3
149873,50.616,591400.0
150281,50.753,592750.6
151097,51.029,595452.0
151505,51.167,596802.7
152117,51.373,598828.6
152729,51.580,600854.6
153345,51.786,602880.7
155181,52.406,608958.7
155589,52.544,610309.4
156405,52.819,613010.6
156813,52.957,614361.3
157629,53.233,617062.7
158649,53.577,620439.3
159261,53.852,623140.7
159873,54.059,625166.6
160485,54.265,627192.7
161709,54.679,631244.7
162117,54.816,632595.4
162933,55.092,635296.7
163341,55.230,636647.3
163953,55.436,638673.4
164565,55.643,640699.3
165177,55.849,642725.3
165789,56.056,644751.3
166401,56.263,646777.4
167013,56.469,648803.3
167421,56.607,650154.0
168237,56.882,652855.4
168645,57.020,654206.0
169461,57.364,657582.7
170481,57.709,660959.3
171705,58.122,665011.3
172317,58.329,667037.4
172929,58.535,669063.3
173541,58.742,671089.3
173949,58.879,672440.0
174765,59.155,675141.3
175173,59.293,676492.0
175989,59.568,679193.4
178233,60.326,686622.0
179457,60.739,690674.0
180069,61.014,693375.4
180478,61.152,694726.0
181293,61.427,697427.3
181701,61.565,698778.0
182517,61.841,701479.4
182925,61.978,702830.0
183537,62.185,704856.0
184172,62.392,706882.0
184988,62.667,709583.3
185396,62.805,710934.0
186620,63.218,714986.0
187232,63.425,717012.0
187844,63.631,719038.0
188456,63.838,721064.0
189068,64.113,723765.3
190292,64.526,727817.4
191516,64.940,731869.3
192536,65.284,735246.0
193148,65.490,737272.0
194372,65.904,741324.0
194780,66.041,742674.7
195596,66.317,745376.0
196004,66.455,746726.7
196820,66.730,749428.0
197228,66.868,750778.7
197840,67.074,752804.7
198452,67.281,754830.6
199676,67.763,759558.0
200288,67.970,761584.0
200900,68.176,763610.0
202124,68.589,767662.0
203348,69.003,771714.0
203756,69.140,773064.7
204368,69.347,775090.6
204980,69.553,777116.7
206816,70.173,783194.7
207428,70.380,785220.7
207836,70.518,786571.3
208652,70.793,789272.6
209060,71.000,791298.7
209876,71.275,794000.0
210284,71.413,795350.6
211508,71.826,799402.7
212120,72.033,801428.7
212732,72.239,803454.6
213344,72.446,805480.7
213956,72.652,807506.7
214364,72.790,808857.4
215180,73.066,811558.7
215588,73.203,812909.3
216404,73.479,815610.6
217424,73.823,818987.3
218036,74.030,821013.3
218648,74.236,823039.4
219260,74.512,825740.7
219872,74.718,827766.7
220484,74.925,829792.6
221708,75.338,833844.7
222116,75.476,835195.3
223340,75.889,839247.3
223952,76.096,841273.3
224564,76.302,843299.4
225176,76.509,845325.3
226196,76.853,848702.0
227012,77.129,851403.3
227420,77.266,852754.0
228236,77.542,855455.3
228644,77.680,856806.0
229460,78.024,860182.7
229868,78.162,861533.3
230480,78.368,863559.4
231092,78.575,865585.3
231704,78.781,867611.3
232316,78.988,869637.3
232724,79.126,870988.0
233540,79.401,873689.3
233948,79.539,875040.0
234764,79.814,877741.4
235784,80.159,881118.0
236396,80.365,883144.0
237008,80.572,885170.0
238232,80.985,889222.0
238844,81.192,891248.0
240068,81.674,895975.3
240476,81.811,897326.0
241292,82.087,900027.3
241700,82.225,901378.0
242924,82.638,905430.0
243536,82.844,907456.0
244783,83.258,911508.0
245395,83.464,913534.0
246007,83.671,915560.0
246619,83.877,917586.0
247231,84.084,919612.0
247843,84.291,921638.0
248251,84.428,922988.7
249067,84.773,926365.3
249475,84.910,927716.0
250291,85.186,930417.3
250699,85.324,931768.0
252535,85.943,937846.0
253147,86.150,939872.0
253555,86.288,941222.7
254371,86.563,943924.0
254779,86.701,945274.6
255595,86.976,947976.0
256003,87.114,949326.7
256819,87.389,952028.0
