time_ms,depth_m,gas_idx,pa
22928,6.715,0,162963.3
43124,13.496,0,231172.0
63324,20.278,0,299380.7
83344,26.993,0,366914.0
103540,33.774,0,435122.7
123556,40.489,0,502656.0
143752,47.271,0,570864.6
163951,50.437,0,602707.1
184147,50.577,0,604119.1
224539,50.842,0,606785.4
244735,50.962,0,607986.8
264931,51.069,0,609067.9
285127,51.163,0,610007.4
305323,51.240,0,610786.5
325519,51.300,0,611389.8
345715,51.341,0,611805.1
365911,51.363,0,612024.5
386107,51.365,0,612043.4
406303,51.347,0,611861.5
426499,51.309,0,611482.5
446695,51.253,0,610913.8
466891,51.178,0,610166.8
487090,51.088,0,609256.1
507286,50.983,0,608200.1
527482,50.865,0,607019.4
547678,50.738,0,605737.9
567874,50.603,0,604380.7
588070,50.463,0,602974.8
608266,50.321,0,601548.2
628462,50.180,0,600129.2
648658,50.044,0,598759.3
668854,49.913,0,597438.5
689050,49.790,0,596206.9
709246,49.679,0,595088.9
729442,49.582,0,594106.7
749638,49.499,0,593279.9
769834,49.434,0,592624.8
790030,49.387,0,592154.4
810226,49.360,0,591878.1
830425,49.352,0,591801.4
850621,49.365,0,591925.9
870817,49.397,0,592248.9
891013,49.448,0,592764.1
911209,49.517,0,593461.3
931405,49.603,0,594326.8
951601,49.705,0,595343.0
971797,49.819,0,596490.1
991993,49.943,0,597745.2
1012189,50.076,0,599083.5
1032385,50.215,0,600478.2
1052581,50.357,0,601901.8
1072777,46.231,0,560412.2
1092793,41.567,0,513502.9
1112989,35.701,0,454499.8
1121761,31.906,0,416331.0
1127269,28.848,0,385572.8
1132369,24.473,0,341573.3
1137469,15.200,0,248311.3
1162765,12.541,0,221560.0
1182961,12.541,0,221560.0
1203157,12.541,0,221560.0
1223353,12.541,0,221560.0
1243549,12.541,0,221560.0
1263745,12.541,0,221560.0
1283941,12.148,0,217609.3
1304143,9.519,0,191170.0
1324339,9.519,0,191170.0
1344535,9.519,0,191170.0
1364731,9.519,0,191170.0
1384927,9.519,0,191170.0
1405123,9.519,0,191170.0
1425319,9.519,0,191170.0
1445515,6.498,0,160780.0
1465711,6.498,0,160780.0
1485907,6.498,0,160780.0
1506103,6.498,0,160780.0
1526299,6.498,0,160780.0
1546495,6.498,0,160780.0
1566691,6.498,0,160780.0
1586887,6.498,0,160780.0
1607083,3.476,0,130390.0
1627279,3.476,0,130390.0
1647475,3.476,0,130390.0
1667671,3.476,0,130390.0
1687867,3.476,0,130390.0
1708063,3.476,0,130390.0
1728259,3.476,0,130390.0
1748455,3.476,0,130390.0
1768651,3.476,0,130390.0
1785379,50.359,0,601930.0
