# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,76,13483846,101523,134329,177419,349066,559742429223,63451879,827837549,7365031963,152672508196
single,dive.deco_schedule.rate,2999,5634143,1795,1922,1878,1934,41627758800520029,112187,11306284,13880546448989,12012552043185256
single,dive.display_refresh,234,39870077,1011,21895,170384,2928627,10283440521949,669437,136843738,43946327016,1830391873113
single,dive.o2_tox,34,9044,266,266,266,266,106653638,16625,1662551,3136871,16625835
single,dive.o2_tox.rate,3418,6426195,1125,1826,1880,1954,306585505001018778,113250,11412532,89697339087483,121187605471224754
single,dive.rate_and_logging,2748,35416239,12000,12009,12888,14763,9461777042238491652,750000,75006248,3443150306491445,8907506001589313421
single,flash.control.write,1,39134,39134,39134,39134,39134,2445875,2445875,2445875,2445875,2445875
single,flash.init.reset_pos,4,52032,13008,13008,13008,13008,164226093,813000,41056506,41056523,81300080
single,flash.log.rate,734,1273067,1727,1732,1734,1857,1082626402322300,108250,10825069,1474967850575,1082508105074535
single,flash.serial.write,4,50312,12578,12578,12578,12578,80970888,786125,786125,20242722,78612513
single,task.mode.tick.loop,126,77764251,431668,460449,617176,3635963,34145847047554864479590280045576013296956785851591890966778926098932607350210252,27472687,274854378869,270998786091705273647541905123619153150450681361840404498245445229623867858811,34142437528831526152615261600174210452615261600431525252615261600690142252615261
