time_ms,depth_m,gas_idx,pa
22929,6.715,0,164083.3
43125,13.496,0,232292.0
63325,20.152,0,299234.9
83521,20.499,0,302721.0
103717,20.484,0,302571.2
123913,20.123,0,298937.9
164305,19.811,0,295798.7
184501,20.006,0,297761.1
204697,18.262,0,280226.8
224893,16.519,0,262692.4
245089,14.776,0,245158.1
265285,13.032,0,227623.7
285481,11.289,0,210089.3
305496,9.563,0,192728.6
325692,7.819,0,175194.2
345888,6.076,0,157659.9
366084,4.333,0,140125.5
386280,2.589,0,122591.1
406476,0.846,0,105056.8
