time_ms,pa_flash,pa_profile,pa_diff,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
22970,163253.3,163253.3,-0.0,6.313,6.313,-0.000,0
43166,231462.0,231462.0,0.0,13.266,13.266,0.000,0
63366,299670.7,299638.4,32.3,20.219,20.215,0.003,0
83388,367204.0,367204.0,-0.0,27.103,27.103,-0.000,0
103584,435412.7,435412.6,0.1,34.056,34.056,0.000,0
123606,502946.0,502966.1,-20.1,40.940,40.942,-0.002,0
143802,571154.6,571154.7,-0.1,47.893,47.893,-0.000,0
163998,639363.4,639363.3,0.1,54.846,54.846,0.000,0
184016,706896.7,706908.7,-12.0,61.730,61.731,-0.001,0
204212,775105.3,775105.3,0.0,68.683,68.683,0.000,0
224412,843314.0,843314.0,-0.0,75.636,75.636,-0.000,0
244430,910847.3,910847.3,0.0,82.520,82.520,0.000,0
264626,979056.0,979056.0,0.0,89.473,89.473,0.000,0
284822,1009667.4,1009667.4,0.0,92.594,92.594,0.000,0
305018,1013416.6,1013416.6,0.0,92.976,92.976,0.000,0
325214,1016898.4,1016898.4,0.0,93.331,93.331,0.000,0
345410,1019957.6,1019957.6,0.0,93.642,93.642,0.000,0
365606,1022457.9,1022457.9,0.0,93.897,93.897,0.000,0
385802,1024287.8,1024287.8,0.0,94.084,94.084,0.000,0
405998,1025365.9,1025365.8,0.2,94.194,94.194,0.000,0
426194,1025643.8,1025643.8,0.0,94.222,94.222,0.000,0
446390,1025109.2,1025109.2,0.0,94.168,94.168,0.000,0
466586,1023786.2,1023786.2,0.0,94.033,94.033,0.000,0
486782,1021733.6,1021733.6,0.0,93.824,93.824,0.000,0
506978,1019042.8,1019042.8,0.0,93.549,93.549,0.000,0
527174,1015833.9,1015833.9,0.0,93.222,93.222,0.000,0
547370,1012249.9,1012249.9,0.0,92.857,92.857,0.000,0
567566,1008450.6,1008450.6,0.0,92.469,92.469,0.000,0
587762,1004605.3,1004605.3,-0.0,92.078,92.078,-0.000,0
607962,1000885.6,1000885.6,0.0,91.698,91.698,0.000,0
628158,997457.0,997457.0,0.0,91.349,91.349,0.000,0
648354,994472.8,994472.8,0.1,91.045,91.045,0.000,0
668550,992065.6,992065.6,0.0,90.799,90.799,0.000,0
688746,990342.9,990343.0,-0.1,90.624,90.624,-0.000,0
708942,989381.6,989381.6,-0.0,90.526,90.526,-0.000,0
729138,989224.4,989224.4,0.0,90.510,90.510,0.000,0
749334,989878.4,989878.4,0.0,90.576,90.576,0.000,0
769530,991314.4,991314.4,0.0,90.723,90.723,0.000,0
789726,993468.4,993468.4,0.0,90.942,90.942,0.000,0
809728,996214.1,996214.1,0.0,91.222,91.222,0.000,0
829924,999484.0,999484.0,0.0,91.555,91.555,0.000,0
849946,1003070.6,1003070.6,0.0,91.921,91.921,0.000,0
870142,1006885.4,1006885.4,0.0,92.310,92.310,0.000,0
890145,976427.2,976427.3,-0.1,89.205,89.205,-0.000,0
910200,939579.2,939579.2,-0.1,85.449,85.449,-0.000,0
930208,901583.3,901583.3,-0.0,81.576,81.576,-0.000,0
950252,862117.6,862117.6,0.0,77.553,77.553,0.000,0
990331,775144.6,775144.6,0.0,68.687,68.687,0.000,0
