time_ms,depth_m,pa
4610,0.551,101122.7
4814,0.620,101798.0
5426,0.826,103824.0
7058,1.377,109226.7
8078,1.722,112603.3
8690,1.928,114629.3
9710,2.341,118681.3
10322,2.548,120707.3
11954,3.099,126110.0
12362,3.237,127460.7
12974,3.443,129486.7
13586,3.650,131512.7
13994,3.788,132863.3
14606,3.994,134889.3
15218,4.201,136915.3
15626,4.338,138266.0
16850,4.752,142318.0
17870,5.096,145694.7
18482,5.303,147720.7
18890,5.440,149071.3
19502,5.716,151772.7
20114,5.922,153798.7
20522,6.060,155149.3
21746,6.473,159201.3
22154,6.611,160552.0
22766,6.818,162578.0
23378,7.024,164604.0
23786,7.162,165954.7
24398,7.369,167980.7
25010,7.575,170006.7
25418,7.713,171357.3
26642,8.126,175409.3
27050,8.264,176760.0
27662,8.470,178786.0
28274,8.677,180812.0
29906,9.297,186890.0
30314,9.434,188240.7
30722,9.572,189591.3
31334,9.779,191617.3
32558,10.192,195669.3
33170,10.399,197695.3
34394,10.812,201747.3
34802,10.950,203098.0
35618,11.225,205799.3
36026,11.363,207150.0
36842,11.638,209851.3
37250,11.776,211202.0
37862,11.982,213228.0
38474,12.189,215254.0
39086,12.396,217280.0
40310,12.878,222007.3
40922,13.084,224033.3
42146,13.498,228085.3
42554,13.635,229436.0
43370,13.911,232137.3
44390,14.255,235514.0
45002,14.462,237540.0
47450,15.288,245644.0
48674,15.701,249696.0
49082,15.839,251046.7
49898,16.114,253748.0
50306,16.321,255774.0
51122,16.596,258475.3
52142,16.941,261852.0
52754,17.147,263878.0
53978,17.561,267930.0
55202,17.974,271982.0
55610,18.111,273332.7
56426,18.387,276034.0
56834,18.525,277384.7
57650,18.800,280086.0
58058,18.938,281436.7
58670,19.144,283462.7
59282,19.351,285488.7
60506,19.833,290216.0
61118,20.040,292242.0
61730,20.246,294268.0
62958,20.659,298320.0
64212,21.073,302372.0
65436,21.486,306424.0
65844,21.624,307774.7
66660,21.899,310476.0
67068,22.037,311826.7
68292,22.450,315878.7
68904,22.725,318580.0
69516,22.932,320606.0
70740,23.345,324658.0
71148,23.483,326008.7
71964,23.758,328710.0
73188,24.172,332762.0
74412,24.585,336814.0
76656,25.342,344242.7
77880,25.755,348294.7
78492,25.962,350320.7
79716,26.444,355048.0
80124,26.582,356398.7
80940,26.857,359100.0
82572,27.408,364502.7
83184,27.615,366528.7
83796,27.821,368554.7
84408,28.028,370580.7
85020,28.235,372606.7
85428,28.372,373957.3
86244,28.648,376658.7
86652,28.785,378009.3
87468,29.061,380710.7
89100,29.681,386788.7
90324,30.094,390840.7
90936,30.301,392866.7
91548,30.507,394892.7
92772,30.920,398944.7
93996,31.333,402996.7
95220,31.747,407048.7
95628,31.884,408399.3
96852,32.298,412451.3
97464,32.504,414477.3
98076,32.711,416503.3
99300,33.193,421230.7
99708,33.331,422581.3
100524,33.606,425282.7
100932,33.744,426633.3
101748,34.019,429334.7
102156,34.157,430685.3
102972,34.432,433386.7
103380,34.570,434737.3
103992,34.777,436763.3
105216,35.190,440815.3
105828,35.397,442841.3
107052,35.810,446893.3
108276,36.223,450945.3
108684,36.361,452296.0
109500,36.705,455672.7
109908,36.843,457023.3
110520,37.049,459049.3
111132,37.256,461075.3
111744,37.462,463101.3
112356,37.669,465127.3
113580,38.082,469179.3
114192,38.289,471205.3
114804,38.495,473231.3
116028,38.909,477283.3
117252,39.322,481335.3
117660,39.460,482686.0
118884,39.873,486738.0
119496,40.079,488764.0
120108,40.355,491465.3
120720,40.561,493491.3
121332,40.768,495517.3
121944,40.975,497543.3
122556,41.181,499569.3
122969,41.319,500920.0
123810,41.594,503621.3
124422,41.801,505647.3
125034,42.008,507673.3
125442,42.145,509024.0
126258,42.421,511725.3
126666,42.558,513076.0
127482,42.834,515777.3
128706,43.316,520504.7
129114,43.454,521855.3
130338,43.867,525907.4
130950,44.073,527933.3
131562,44.280,529959.4
132174,44.487,531985.4
132786,44.693,534011.3
134010,45.106,538063.3
135234,45.520,542115.4
135642,45.657,543466.0
136254,45.864,545492.0
136866,46.071,547518.0
137478,46.277,549544.0
138090,46.484,551570.0
138702,46.759,554271.3
139926,47.172,558323.4
140538,47.379,560349.3
140946,47.517,561700.0
141762,47.792,564401.4
142986,48.205,568453.3
143394,48.343,569804.0
144210,48.619,572505.4
144618,48.756,573856.0
146454,49.376,579934.0
147066,49.583,581960.0
148290,49.996,586012.0
148698,50.134,587362.6
149514,50.478,590739.4
149922,50.616,592090.0
150738,50.891,594791.3
151146,51.029,596142.0
151758,51.235,598168.0
152370,51.442,600194.0
152982,51.649,602220.0
154206,52.062,606272.0
154818,52.268,608298.0
156042,52.682,612350.0
156450,52.819,613700.6
157266,53.095,616402.0
157674,53.233,617752.7
158490,53.508,620454.0
158898,53.646,621804.7
159510,53.921,624506.0
160122,54.128,626532.0
160734,54.334,628558.0
161346,54.541,630584.0
161958,54.748,632610.0
162570,54.954,634636.0
163794,55.367,638688.0
164202,55.505,640038.6
165018,55.781,642740.0
165426,55.918,644090.7
166242,56.194,646792.0
166650,56.331,648142.7
167262,56.538,650168.7
167874,56.745,652194.7
168486,56.951,654220.6
169710,57.433,658948.0
170322,57.640,660974.0
171546,58.053,665026.0
171954,58.191,666376.6
172770,58.466,669078.0
173178,58.604,670428.7
173994,58.879,673130.0
175014,59.224,676506.7
175626,59.430,678532.7
176238,59.637,680558.6
176850,59.844,682584.7
177462,60.050,684610.7
179298,60.670,690688.7
180522,61.152,695416.0
180930,61.290,696766.7
181746,61.565,699468.0
182766,61.909,702844.7
184220,62.392,707572.0
184628,62.529,708922.6
185444,62.805,711624.0
185852,62.942,712974.7
186464,63.149,715000.6
187076,63.356,717026.7
187688,63.562,719052.7
188912,64.044,723780.0
189524,64.251,725806.0
190748,64.664,729858.0
191156,64.802,731208.7
191972,65.077,733910.0
192992,65.422,737286.7
193604,65.628,739312.7
195440,66.248,745390.7
196052,66.455,747416.7
196664,66.661,749442.6
197276,66.868,751468.7
197684,67.005,752819.3
