# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,92,31571200,101549,150278,343165,885697,3228217606279,90490627,1633431264,35089321807,551519377021
single,dive.deco_schedule.rate,4907,9020538,1787,1802,1838,1930,189186100849899236,111687,11262541,38554330721397,112625598302871922
single,dive.display_refresh,933,114729568,10,21846,122968,1932119,55256029615984,638625,136537521,59224040317,20538412550068
single,dive.o2_tox,26,6916,266,266,266,266,198090273,16625,16625,7618856,166252082
single,dive.o2_tox.rate,6209,11516165,1114,1818,1854,1946,1942952521729647242,112687,11331224,312925192741125,1207502024251296287
single,dive.rate_and_logging,4557,60674411,11776,13598,13314,14600,27057385623352404856,742250,7557509,5937543476706694,9125001037181876335
single,flash.init.reset_pos,4,52300,13075,13075,13075,13075,326874984,81718710,81718758,81718746,81718758
single,flash.log.rate,802,1388920,1722,1727,1731,1852,206931309063,107625,10793774,258019088,107937700008
single,flash.serial.write,4,50576,12644,12644,12644,12644,316100184,79025010,79025058,79025046,79025058
single,task.mode.tick.loop,208,131286207,439291,552279,631183,3671887,3828878660945051437421005867979414859614261741129794239063315704327397087055559206815727,27492750,274741875249,18408070485312747295293297442208725286607027601585549226265940886189409072382496186614,3450362562688821633434629062906290207079425262906290207336351462906290207602964262906290
