time_ms,pa_flash,pa_profile,pa_diff,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
8033,112633.3,112633.3,0.0,1.153,1.153,0.000,0
13133,130192.0,130192.0,-0.0,2.943,2.943,-0.000,0
18233,147075.3,147075.3,0.0,4.664,4.664,0.000,0
23333,164634.0,164634.0,-0.0,6.454,6.454,-0.000,0
28433,181517.3,181517.4,-0.1,8.175,8.175,-0.000,0
33533,199076.0,199076.0,0.0,9.964,9.964,0.000,0
38633,215959.3,216043.8,-84.5,11.685,11.694,-0.009,0
43733,233518.0,233518.0,0.0,13.475,13.475,0.000,0
48833,250401.3,250401.4,-0.1,15.196,15.196,-0.000,0
53933,267960.0,267960.0,0.0,16.986,16.986,0.000,0
59033,284843.3,284843.3,0.0,18.707,18.707,0.000,0
64137,298604.4,298604.4,0.0,20.110,20.110,0.000,0
69237,299642.4,299642.3,0.1,20.216,20.216,0.000,0
74337,300627.6,300627.6,0.0,20.316,20.316,0.000,0
79437,301417.3,301417.3,0.0,20.397,20.397,0.000,0
84537,302016.4,302016.4,0.0,20.458,20.458,0.000,0
89637,302338.0,302338.0,0.0,20.491,20.491,0.000,0
94737,302384.0,302384.0,0.0,20.495,20.495,0.000,0
99837,302147.9,302146.7,1.2,20.471,20.471,0.000,0
104937,301628.1,301628.1,0.0,20.418,20.418,0.000,0
110037,300900.0,300900.0,0.0,20.344,20.344,0.000,0
115137,299959.2,299959.2,0.0,20.248,20.248,0.000,0
120237,298941.9,298941.9,0.0,20.144,20.144,0.000,0
125337,297842.1,297842.1,0.0,20.032,20.032,0.000,0
130437,296819.0,296819.1,-0.1,19.928,19.928,-0.000,0
135537,295866.5,295866.7,-0.2,19.831,19.831,-0.000,0
140637,295122.5,295122.5,0.0,19.755,19.755,0.000,0
145737,294582.6,294582.8,-0.2,19.700,19.700,-0.000,0
155937,294347.9,294348.2,-0.2,19.676,19.676,-0.000,0
161037,294648.3,294648.3,0.0,19.707,19.707,0.000,0
166137,295227.9,295228.0,-0.1,19.766,19.766,-0.000,0
171237,296002.8,296002.8,0.0,19.845,19.845,0.000,0
176337,296977.4,296977.5,-0.1,19.944,19.944,-0.000,0
181437,298010.9,298011.0,-0.0,20.050,20.050,-0.000,0
186537,295225.1,295225.1,0.0,19.766,19.766,0.000,0
191637,290884.9,290884.9,0.0,19.323,19.323,0.000,0
196737,286371.1,286371.1,-0.0,18.863,18.863,-0.000,0
201837,282030.9,282030.9,0.0,18.421,18.421,0.000,0
206937,277517.1,277517.1,0.0,17.960,17.960,0.000,0
212037,273176.9,273176.9,0.0,17.518,17.518,0.000,0
217137,268663.1,268663.1,0.0,17.058,17.058,0.000,0
222237,264322.9,264322.9,0.0,16.615,16.615,0.000,0
227337,259809.1,259809.1,0.0,16.155,16.155,0.000,0
232437,255468.9,255468.9,0.0,15.713,15.713,0.000,0
237537,250955.1,250955.1,0.0,15.253,15.253,0.000,0
242637,246615.0,246615.0,0.0,14.810,14.810,0.000,0
247737,242101.2,242101.2,0.0,14.350,14.350,0.000,0
252837,237761.0,237761.0,0.0,13.908,13.908,0.000,0
257937,233247.2,233247.2,0.0,13.448,13.448,0.000,0
263037,228907.0,228907.0,0.0,13.005,13.005,0.000,0
268137,224393.2,224393.2,0.0,12.545,12.545,0.000,0
273237,220053.0,220053.0,0.0,12.103,12.103,0.000,0
278337,215539.2,215539.2,0.0,11.643,11.643,0.000,0
283437,211199.0,211199.0,0.0,11.200,11.200,0.000,0
288537,206685.2,206685.2,0.0,10.740,10.740,0.000,0
293637,202345.0,202345.0,0.0,10.298,10.298,0.000,0
298737,197831.2,197831.2,0.0,9.838,9.838,0.000,0
303837,193491.1,193491.0,0.1,9.395,9.395,0.000,0
308960,188977.2,188977.3,-0.1,8.935,8.935,-0.000,0
314060,184463.5,184463.5,0.0,8.475,8.475,0.000,0
319160,180123.3,180123.3,-0.0,8.032,8.032,-0.000,0
324260,175609.5,175609.5,0.0,7.572,7.572,0.000,0
329360,171269.3,171269.3,-0.0,7.130,7.130,-0.000,0
334460,166755.5,166755.5,0.0,6.670,6.670,0.000,0
339560,162415.3,162415.3,-0.0,6.227,6.227,-0.000,0
344660,157901.5,157988.3,-86.8,5.767,5.776,-0.009,0
349760,153561.3,153561.3,-0.0,5.325,5.325,-0.000,0
354860,149047.5,149134.3,-86.8,4.865,4.874,-0.009,0
359960,144707.3,144707.3,-0.0,4.422,4.422,-0.000,0
365060,140193.5,140193.5,0.0,3.962,3.962,0.000,0
370160,135853.3,135853.3,-0.0,3.520,3.520,-0.000,0
375260,131339.5,131339.5,0.0,3.060,3.060,0.000,0
380360,126999.4,126999.4,-0.0,2.617,2.617,-0.000,0
385460,122485.6,122485.6,0.0,2.157,2.157,0.000,0
390560,118145.4,118145.4,-0.0,1.715,1.715,-0.000,0
395660,113631.6,113631.6,0.0,1.254,1.254,0.000,0
400760,109291.4,109291.4,-0.0,0.812,0.812,-0.000,0
405860,104777.6,104777.6,0.0,0.352,0.352,0.000,0
