time_ms,pa_flash,pa_profile,pa_diff,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
8054,112573.3,112573.3,0.0,1.147,1.147,0.000,0
13154,130132.0,130132.0,-0.0,2.936,2.936,-0.000,0
18254,147015.3,147015.4,-0.1,4.658,4.658,-0.000,0
23354,164574.0,164574.0,-0.0,6.447,6.447,-0.000,0
28454,181457.3,181457.4,-0.1,8.168,8.168,-0.000,0
33554,199016.0,199016.0,0.0,9.958,9.958,0.000,0
38654,215899.3,215899.4,-0.1,11.679,11.679,-0.000,0
43754,233458.0,233458.0,0.0,13.469,13.469,0.000,0
48854,250341.3,250341.4,-0.1,15.190,15.190,-0.000,0
53954,267900.0,267900.0,-0.0,16.980,16.980,-0.000,0
59054,284783.3,284783.3,-0.0,18.701,18.701,-0.000,0
64182,302342.0,302342.0,-0.0,20.491,20.491,-0.000,0
69282,319900.7,319900.7,0.0,22.281,22.281,0.000,0
74382,336784.0,336784.0,0.0,24.002,24.002,0.000,0
79482,354342.7,354342.7,0.0,25.792,25.792,0.000,0
84582,371226.0,371226.0,0.0,27.513,27.513,0.000,0
89682,388784.7,388784.6,0.1,29.303,29.303,0.000,0
94782,405668.0,405668.0,0.0,31.024,31.024,0.000,0
99882,423226.7,423226.6,0.1,32.814,32.814,0.000,0
104982,440110.0,440110.0,0.0,34.535,34.535,0.000,0
110082,457668.7,457443.6,225.1,36.325,36.302,0.023,0
115182,474552.0,474552.0,-0.0,38.046,38.046,-0.000,0
120282,492110.7,491941.8,168.9,39.835,39.818,0.017,0
125406,508994.0,508994.0,-0.0,41.556,41.556,-0.000,0
130506,526552.6,526552.6,0.0,43.346,43.346,0.000,0
135606,543436.0,543436.0,0.0,45.067,45.067,0.000,0
140706,560994.6,560994.7,-0.1,46.857,46.857,-0.000,0
145806,577878.0,577878.0,0.0,48.578,48.578,0.000,0
150906,595436.7,595436.6,0.1,50.368,50.368,0.000,0
156006,612320.0,612320.0,-0.0,52.089,52.089,-0.000,0
161106,629878.7,629878.7,0.0,53.879,53.879,0.000,0
166206,646762.0,646762.0,0.0,55.600,55.600,0.000,0
171306,664320.7,664320.7,0.0,57.390,57.390,0.000,0
176406,681204.0,681204.0,0.0,59.111,59.111,0.000,0
181506,698762.7,698762.7,0.0,60.901,60.901,0.000,0
186630,715646.0,715646.0,-0.0,62.622,62.622,-0.000,0
191730,733204.7,733204.7,0.0,64.412,64.412,0.000,0
196830,750088.0,750088.0,-0.0,66.133,66.133,-0.000,0
201930,767646.7,767646.6,0.1,67.923,67.923,0.000,0
207030,784530.0,784530.0,0.0,69.644,69.644,0.000,0
212130,802088.7,802088.7,0.0,71.434,71.434,0.000,0
