time_ms,depth_m,pa
4586,0.551,101092.7
4790,0.620,101768.0
5402,0.826,103794.0
7034,1.377,109196.7
8054,1.722,112573.3
8666,1.928,114599.3
9074,2.066,115950.0
10298,2.548,120677.3
10706,2.686,122028.0
11930,3.099,126080.0
12338,3.237,127430.7
12950,3.443,129456.7
13562,3.650,131482.7
13970,3.788,132833.3
14582,3.994,134859.3
15194,4.201,136885.3
15602,4.338,138236.0
16214,4.545,140262.0
16826,4.752,142288.0
17234,4.889,143638.7
17846,5.096,145664.7
18458,5.303,147690.7
18866,5.440,149041.3
19478,5.716,151742.7
20090,5.922,153768.7
21722,6.473,159171.3
22130,6.611,160522.0
22538,6.749,161872.7
23150,6.955,163898.7
23762,7.162,165924.7
24170,7.300,167275.3
25394,7.713,171327.3
25802,7.851,172678.0
26414,8.057,174704.0
27026,8.264,176730.0
27434,8.402,178080.7
28046,8.608,180106.7
28658,8.815,182132.7
29066,8.952,183483.3
29678,9.228,186184.7
30290,9.434,188210.7
30698,9.572,189561.3
31310,9.779,191587.3
31922,9.985,193613.3
32330,10.123,194964.0
33146,10.399,197665.3
33554,10.536,199016.0
34370,10.812,201717.3
35390,11.156,205094.0
36614,11.569,209146.0
37226,11.776,211172.0
37838,11.982,213198.0
38450,12.189,215224.0
38858,12.327,216574.7
39674,12.602,219276.0
40082,12.809,221302.0
40898,13.084,224003.3
41306,13.222,225354.0
41918,13.429,227380.0
42530,13.635,229406.0
43142,13.842,231432.0
43754,14.048,233458.0
44366,14.255,235484.0
44978,14.462,237510.0
45386,14.599,238860.7
46202,14.875,241562.0
46610,15.013,242912.7
47426,15.288,245614.0
47834,15.426,246964.7
48446,15.632,248990.7
49058,15.839,251016.7
50282,16.321,255744.0
50894,16.528,257770.0
51506,16.734,259796.0
51914,16.872,261146.7
52730,17.147,263848.0
53138,17.285,265198.7
55586,18.111,273302.7
56198,18.318,275328.7
56810,18.525,277354.7
57218,18.662,278705.3
58034,18.938,281406.7
58442,19.076,282757.3
59258,19.351,285458.7
59666,19.489,286809.3
60482,19.833,290186.0
60890,19.971,291536.7
62114,20.384,295588.7
63978,21.004,301666.7
65202,21.417,305718.7
65814,21.624,307744.7
66222,21.761,309095.3
67038,22.037,311796.7
67446,22.174,313147.3
68262,22.450,315848.7
68670,22.588,317199.3
69282,22.863,319900.7
70506,23.276,323952.7
71730,23.689,328004.7
72342,23.896,330030.7
72750,24.034,331381.3
73566,24.309,334082.7
73974,24.447,335433.3
74790,24.722,338134.7
75198,24.860,339485.3
76014,25.136,342186.7
76422,25.273,343537.3
77034,25.480,345563.3
77646,25.687,347589.3
78870,26.100,351641.3
79278,26.306,353667.3
80094,26.582,356368.7
81318,26.995,360420.7
81726,27.133,361771.3
83562,27.753,367849.3
84786,28.166,371901.3
85398,28.372,373927.3
85806,28.510,375278.0
86622,28.785,377979.3
87030,28.923,379330.0
87846,29.199,382031.3
88866,29.543,385408.0
89478,29.818,388109.3
90090,30.025,390135.3
90702,30.232,392161.3
91314,30.438,394187.3
91926,30.645,396213.3
92334,30.783,397564.0
93150,31.058,400265.3
94374,31.471,404317.3
94782,31.609,405668.0
95598,31.884,408369.3
96618,32.229,411746.0
98454,32.849,417824.0
98862,32.986,419174.7
99678,33.331,422551.3
100902,33.744,426603.3
101310,33.881,427954.0
101922,34.088,429980.0
102534,34.295,432006.0
103146,34.501,434032.0
103758,34.708,436058.0
104370,34.914,438084.0
104982,35.121,440110.0
106206,35.534,444162.0
106614,35.672,445512.7
107430,35.947,448214.0
108450,36.292,451590.7
109062,36.498,453616.7
109674,36.705,455642.7
110286,36.980,458344.0
110898,37.187,460370.0
111510,37.394,462396.0
111918,37.531,463746.7
112734,37.807,466448.0
113958,38.220,470500.0
114978,38.564,473876.7
115590,38.771,475902.7
116814,39.184,479954.7
117426,39.391,481980.7
118038,39.597,484006.7
118446,39.735,485357.3
119262,40.010,488058.7
119670,40.148,489409.3
120486,40.493,492786.0
121506,40.837,496162.7
122730,41.250,500214.7
123978,41.663,504266.7
124590,41.870,506292.7
125202,42.076,508318.7
126426,42.490,512370.7
127038,42.696,514396.7
128262,43.109,518448.7
128670,43.247,519799.3
129486,43.591,523176.0
129894,43.729,524526.7
130506,43.936,526552.6
131118,44.142,528578.6
131730,44.349,530604.6
132342,44.556,532630.6
132954,44.762,534656.7
133566,44.969,536682.6
133974,45.106,538033.3
134790,45.382,540734.6
136014,45.795,544786.7
137034,46.139,548163.3
137646,46.346,550189.4
138258,46.553,552215.4
139482,47.035,556942.7
140094,47.241,558968.6
140502,47.379,560319.3
141318,47.654,563020.7
141726,47.792,564371.4
142542,48.068,567072.6
142950,48.205,568423.3
144174,48.619,572475.4
144786,48.825,574501.3
145398,49.032,576527.4
145806,49.169,577878.0
146622,49.445,580579.3
147030,49.583,581930.0
147846,49.858,584631.4
148254,49.996,585982.0
149070,50.271,588683.3
149478,50.478,590709.4
150702,50.891,594761.3
152538,51.511,600839.3
153150,51.717,602865.3
153558,51.855,604216.0
154374,52.131,606917.4
154782,52.268,608268.0
155598,52.544,610969.4
156618,52.888,614346.0
157230,53.095,616372.0
157842,53.301,618398.0
159678,53.990,625151.3
160087,54.128,626502.0
160902,54.403,629203.3
161310,54.541,630554.0
162126,54.816,633255.4
162534,54.954,634606.0
163758,55.367,638658.0
164370,55.574,640684.0
164982,55.781,642710.0
165390,55.918,644060.7
166206,56.194,646762.0
166614,56.331,648112.7
167430,56.607,650814.0
167838,56.745,652164.7
168654,57.020,654866.0
169062,57.158,656216.7
169674,57.364,658242.7
170898,57.846,662970.0
172122,58.260,667022.0
172734,58.466,669048.0
173142,58.604,670398.7
173958,58.879,673100.0
174366,59.017,674450.6
175182,59.293,677152.0
175590,59.430,678502.7
176202,59.637,680528.6
176814,59.844,682554.7
178038,60.257,686606.6
178650,60.463,688632.7
179262,60.670,690658.7
179670,60.808,692009.3
180486,61.152,695386.0
180894,61.290,696736.7
181506,61.496,698762.7
182118,61.703,700788.6
182730,61.909,702814.7
183342,62.116,704840.7
184182,62.392,707542.0
184590,62.529,708892.6
185203,62.736,710918.7
185814,62.942,712944.7
187038,63.356,716996.7
187650,63.562,719022.7
188262,63.769,721048.6
188670,63.907,722399.4
189486,64.251,725776.0
189894,64.389,727126.7
190710,64.664,729828.0
191730,65.008,733204.7
192342,65.215,735230.6
192954,65.422,737256.7
193566,65.628,739282.7
193974,65.766,740633.3
194790,66.041,743334.7
195198,66.179,744685.3
196014,66.455,747386.7
197238,66.868,751438.7
198258,67.212,754815.4
198870,67.419,756841.3
200094,67.901,761568.6
200502,68.038,762919.4
201318,68.314,765620.7
201726,68.452,766971.3
202542,68.727,769672.6
203766,69.140,773724.7
204174,69.278,775075.3
204786,69.485,777101.4
205398,69.691,779127.3
206622,70.104,783179.4
207030,70.242,784530.0
207846,70.518,787231.3
209070,70.931,791283.3
210702,71.551,797361.4
211314,71.757,799387.3
211926,71.964,801413.3
212538,72.170,803439.4
213150,72.377,805465.3
213762,72.584,807491.3
214374,72.790,809517.4
214782,72.928,810868.0
215598,73.203,813569.3
216006,73.341,814920.0
216618,73.548,816946.0
217230,73.754,818972.0
217842,73.961,820998.0
218454,74.167,823024.0
219066,74.374,825050.0
219678,74.649,827751.3
220086,74.787,829102.0
220902,75.063,831803.3
221310,75.200,833154.0
222126,75.476,835855.3
222534,75.614,837206.0
223350,75.889,839907.3
223758,76.027,841258.0
224370,76.233,843284.0
224982,76.440,845310.0
226206,76.853,849362.0
226614,76.991,850712.6
227430,77.266,853414.0
228654,77.680,857466.0
230286,78.299,863544.0
230898,78.506,865570.0
231510,78.713,867596.0
232122,78.919,869622.0
232734,79.126,871648.0
233958,79.539,875700.0
234366,79.677,877050.6
235182,79.952,879752.0
235590,80.090,881102.7
236814,80.503,885154.6
237426,80.710,887180.7
238038,80.916,889206.7
238650,81.123,891232.6
239262,81.329,893258.7
239670,81.467,894609.3
240486,81.811,897986.0
241710,82.225,902038.0
242118,82.362,903388.7
242730,82.569,905414.6
243342,82.776,907440.7
244182,83.051,910142.0
245814,83.602,915544.7
246426,83.808,917570.7
247038,84.015,919596.6
247650,84.222,921622.7
248262,84.428,923648.7
249486,84.910,928376.0
250710,85.324,932428.0
251118,85.461,933778.7
251730,85.668,935804.7
252342,85.874,937830.7
252954,86.081,939856.6
254790,86.701,945934.6
255198,86.839,947285.4
256014,87.114,949986.7
256422,87.252,951337.3
257238,87.527,954038.7
257646,87.665,955389.3
258258,87.872,957415.3
259482,88.354,962142.7
260094,88.560,964168.7
261318,88.973,968220.7
261726,89.111,969571.3
262542,89.387,972272.6
262950,89.524,973623.4
263766,89.800,976324.7
264174,89.937,977675.3
264786,90.144,979701.4
266010,90.557,983753.3
266622,90.764,985779.3
267846,91.177,989831.3
268254,91.315,991182.0
269070,91.590,993883.4
269478,91.797,995909.3
270294,92.072,998610.7
270702,92.210,999961.4
271926,92.623,1004013.3
272538,92.830,1006039.3
273762,92.983,1007542.8
274170,92.991,1007619.1
274578,92.999,1007695.5
274782,93.003,1007733.6
275190,93.010,1007810.1
275598,93.018,1007886.4
276006,93.026,1007962.8
276414,93.034,1008039.1
276822,93.041,1008115.4
277230,93.049,1008191.8
278250,93.069,1008382.4
278658,93.076,1008458.7
279066,93.084,1008535.0
279474,93.092,1008611.2
279882,93.104,1008725.4
280290,93.111,1008801.6
280698,93.119,1008877.8
281106,93.127,1008953.8
281514,93.135,1009029.9
281922,93.143,1009106.0
282330,93.150,1009181.9
282738,93.158,1009257.9
283146,93.166,1009333.9
283554,93.173,1009409.9
283962,93.181,1009485.8
284370,93.189,1009561.6
284778,93.197,1009637.4
285186,93.204,1009713.2
285594,93.212,1009788.9
286002,93.220,1009864.6
286410,93.228,1009940.2
286818,93.235,1010015.9
287226,93.243,1010091.4
287634,93.251,1010166.9
288246,93.262,1010280.1
288450,93.266,1010317.8
289062,93.278,1010430.9
289266,93.281,1010468.6
289674,93.289,1010543.8
290082,93.301,1010656.6
290490,93.308,1010731.7
290898,93.316,1010806.7
291306,93.324,1010881.7
291714,93.331,1010956.6
292122,93.339,1011031.6
292530,93.346,1011106.3
293142,93.358,1011218.4
293550,93.366,1011293.0
293958,93.373,1011367.6
294366,93.381,1011442.1
294774,93.388,1011516.6
295182,93.396,1011590.9
295590,93.403,1011665.2
295998,93.411,1011739.4
296406,93.419,1011813.5
296814,93.426,1011887.6
297222,93.434,1011961.6
297630,93.441,1012035.4
298038,93.449,1012109.4
298242,93.453,1012146.2
298854,93.464,1012256.8
299262,93.471,1012330.3
299670,93.479,1012403.8
300078,93.490,1012513.8
300486,93.497,1012587.0
300894,93.505,1012660.1
301302,93.512,1012733.3
301710,93.520,1012806.2
302118,93.527,1012879.1
302526,93.535,1012951.9
302934,93.542,1013024.6
303342,93.549,1013097.2
303750,93.557,1013169.7
304362,93.568,1013278.2
304770,93.575,1013350.5
305178,93.583,1013422.6
305586,93.590,1013494.6
305994,93.597,1013566.6
306402,93.605,1013638.4
306810,93.612,1013710.1
307218,93.619,1013781.6
307626,93.627,1013853.2
308034,93.634,1013924.4
308442,93.641,1013995.8
308646,93.645,1014031.3
309054,93.652,1014102.4
309666,93.663,1014208.8
310074,93.670,1014279.5
310482,93.681,1014385.5
310890,93.688,1014455.9
311298,93.695,1014526.4
311706,93.702,1014596.6
312114,93.710,1014666.7
312522,93.717,1014736.6
312930,93.724,1014806.4
313338,93.731,1014876.1
313746,93.738,1014945.8
314154,93.745,1015015.2
314562,93.752,1015084.4
314970,93.759,1015153.7
315378,93.766,1015222.7
315786,93.773,1015291.6
316194,93.780,1015360.4
316602,93.787,1015428.9
317010,93.794,1015497.4
317418,93.801,1015565.8
317826,93.808,1015634.1
318234,93.815,1015702.1
318642,93.822,1015770.0
319050,93.829,1015837.8
319458,93.836,1015905.3
319866,93.843,1015972.8
320274,93.850,1016040.1
320886,93.863,1016174.3
321294,93.870,1016241.1
321702,93.877,1016307.9
322110,93.884,1016374.4
322518,93.890,1016440.8
322926,93.897,1016507.0
323130,93.901,1016540.0
323538,93.907,1016606.0
323946,93.914,1016671.9
324354,93.921,1016737.5
324762,93.927,1016803.1
325170,93.934,1016868.4
325578,93.941,1016933.4
325986,93.947,1016998.6
326598,93.957,1017095.8
327006,93.964,1017160.3
327414,93.970,1017224.6
327822,93.977,1017288.9
328230,93.983,1017353.0
328638,93.990,1017416.9
329046,93.996,1017480.6
329454,94.003,1017544.1
329862,94.009,1017607.4
330270,94.016,1017670.6
330678,94.025,1017765.0
331086,94.032,1017827.7
331494,94.038,1017890.3
331902,94.045,1017952.6
332310,94.051,1018014.8
332718,94.057,1018076.8
333534,94.070,1018200.2
333942,94.076,1018261.6
334350,94.082,1018322.8
334758,94.089,1018383.8
335166,94.095,1018444.7
335574,94.101,1018505.4
335982,94.107,1018565.8
336390,94.113,1018626.0
336798,94.119,1018686.1
337206,94.126,1018745.9
337614,94.132,1018805.5
338022,94.138,1018865.0
338430,94.144,1018924.3
338838,94.150,1018983.3
339246,94.156,1019042.2
339654,94.162,1019100.8
340062,94.168,1019159.3
340470,94.174,1019217.6
340878,94.182,1019304.5
341286,94.188,1019362.2
341694,94.194,1019419.7
342102,94.200,1019477.0
342510,94.206,1019534.1
342918,94.212,1019590.9
343326,94.217,1019647.6
343734,94.223,1019704.0
344142,94.229,1019760.2
344550,94.235,1019816.3
344958,94.240,1019872.1
345366,94.246,1019927.6
345774,94.252,1019982.9
346386,94.260,1020065.6
346794,94.266,1020120.4
347202,94.271,1020174.9
347610,94.277,1020229.2
347814,94.280,1020256.3
348222,94.285,1020310.4
348630,94.291,1020364.1
349038,94.296,1020417.8
349446,94.301,1020471.0
349854,94.307,1020524.1
350262,94.312,1020576.9
350670,94.318,1020629.6
351078,94.326,1020708.1
351486,94.331,1020760.2
351894,94.336,1020812.1
352302,94.341,1020863.6
352710,94.347,1020914.9
353730,94.360,1021042.2
354138,94.365,1021092.8
354546,94.370,1021143.0
354954,94.375,1021193.1
355362,94.380,1021242.9
355770,94.385,1021292.4
356178,94.390,1021341.6
356586,94.395,1021390.8
356994,94.400,1021439.6
357402,94.405,1021488.1
357606,94.408,1021512.3
358014,94.413,1021560.4
358422,94.417,1021608.4
358830,94.422,1021656.1
359238,94.427,1021703.6
359646,94.432,1021750.8
360054,94.437,1021797.7
360462,94.441,1021844.4
360870,94.446,1021890.8
361278,94.453,1021959.9
361890,94.460,1022028.5
362298,94.465,1022073.9
362706,94.469,1022119.2
363119,94.474,1022164.1
363526,94.479,1022208.6
363934,94.483,1022253.1
364342,94.488,1022297.2
364750,94.492,1022341.0
365158,94.497,1022384.6
365566,94.501,1022427.9
365974,94.505,1022471.0
366382,94.510,1022513.8
366790,94.514,1022556.3
