# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,249,92492527,101167,263000,371455,882588,6933309850747,63229379,4305125087,27844617874,551617504031
single,dive.deco_schedule.rate,5662,1245640,220,220,220,220,52048607949275955,13750,1375052,9192618853634,13750525800800904
single,dive.display_refresh,819,183452965,1003,21815,223996,3264354,29535930578448,637687,136693761,36063407299,1199028751014
single,dive.o2_tox,87,23142,266,266,266,266,1830677670054624,16625,1662540,21042272069593,1662591896906174
single,dive.o2_tox.rate,6258,1483146,237,237,237,237,171950168453885381,14812,1481230,27476856576204,148124039363145870
single,dive.rate_and_logging,4632,61739255,11764,13578,13328,14568,22841141327832082982,755187,9105005,4931161771984473,9105003000373003520
single,flash.init.reset_pos,2,26232,13116,13116,13116,13116,163950039,81975012,81975019,81975019,81975027
single,flash.log.rate,891,187110,210,210,210,210,131303784902529,13125,1312581,147366761955,131255435940630
single,flash.serial.write,7,88795,12685,12685,12685,12685,554968574,79281212,79281227,79281224,79281227
single,task.mode.tick.loop,512,552428702,439727,839548,1078962,3517667,3381118783403023130060576867873873127889325562432812627698012624720499716043307750405834023811696998,27495312,57805000693,6603747623834029550899564195066158452908838989126587163472680907657226007897085450011394577757220,3381118780024079380026380026380026362505598048002638002636252967148002638002636255370714800263800263
