time_ms,depth_m,gas_idx,pa
8062,1.679,0,112793.3
13162,3.424,0,130352.0
18262,5.103,0,147235.3
23362,6.849,0,164794.0
28462,8.528,0,181677.3
33562,10.273,0,199236.0
38662,11.952,0,216119.3
43762,13.698,0,233678.0
48862,15.376,0,250561.3
53962,17.122,0,268120.0
59062,18.801,0,285003.3
64190,20.547,0,302562.0
69290,22.292,0,320120.7
74390,23.971,0,337004.0
79490,25.717,0,354562.7
84590,27.396,0,371446.0
89690,29.141,0,389004.7
94790,30.820,0,405888.0
99890,32.566,0,423446.7
104990,34.244,0,440330.0
110090,35.990,0,457888.7
115190,37.669,0,474772.0
120290,39.415,0,492330.7
125415,41.093,0,509214.0
130515,42.839,0,526772.6
135615,44.518,0,543656.0
140715,46.264,0,561214.6
145815,47.942,0,578098.0
150915,49.688,0,595656.7
156019,50.381,0,602622.2
161119,50.417,0,602989.6
166219,50.452,0,603342.2
171319,50.488,0,603707.7
176419,50.523,0,604057.5
181519,50.559,0,604419.2
186619,50.594,0,604764.5
191719,50.629,0,605120.6
196819,50.663,0,605459.5
201919,50.697,0,605808.1
207019,50.730,0,606139.1
212119,50.764,0,606478.5
217219,50.796,0,606799.8
222319,50.829,0,607128.2
227419,50.859,0,607438.2
232519,50.891,0,607754.1
237619,50.920,0,608051.1
242719,50.950,0,608352.8
247819,50.978,0,608635.5
252919,51.007,0,608921.4
258019,51.033,0,609188.2
263119,51.060,0,609457.1
268219,51.085,0,609706.8
273319,51.110,0,609957.0
278419,51.133,0,610188.2
283519,51.156,0,610418.6
288619,51.177,0,610630.2
293719,51.198,0,610839.6
298819,51.217,0,611030.6
303919,51.235,0,611218.0
309019,51.252,0,611387.2
314119,51.268,0,611551.6
319219,51.283,0,611698.4
324319,51.297,0,611839.0
329419,51.309,0,611962.5
334519,51.321,0,612078.6
339619,51.331,0,612178.1
344719,51.340,0,612269.1
349819,51.347,0,612344.3
354919,51.354,0,612409.7
360019,51.359,0,612460.1
365119,51.363,0,612499.6
370219,51.365,0,612525.0
375319,51.366,0,612538.4
380419,51.366,0,612538.6
390619,51.363,0,612500.8
395719,51.359,0,612461.9
400819,51.354,0,612411.9
405919,51.347,0,612347.1
411019,51.340,0,612272.3
416119,51.331,0,612181.9
421219,51.321,0,612082.8
426319,51.310,0,611967.1
431419,51.297,0,611844.2
436519,51.283,0,611704.0
441619,51.269,0,611557.8
446719,51.253,0,611393.8
451819,51.236,0,611225.0
456919,51.217,0,611038.0
462019,51.198,0,610847.5
467119,51.178,0,610638.5
472219,51.157,0,610427.2
477319,51.134,0,610197.2
482419,51.111,0,609966.4
487521,51.086,0,609716.5
502821,51.008,0,608932.2
507921,50.980,0,608646.6
513021,50.951,0,608364.2
518121,50.921,0,608062.9
523221,50.892,0,607766.1
528321,50.861,0,607450.5
533421,50.830,0,607140.8
538521,50.797,0,606812.5
543621,50.765,0,606491.4
548721,50.732,0,606152.2
553821,50.699,0,605821.4
558921,50.664,0,605473.0
564021,50.630,0,605134.1
569121,50.595,0,604778.2
579321,50.525,0,604071.5
584421,50.490,0,603721.7
589521,50.454,0,603356.2
599721,50.382,0,602636.3
604821,50.347,0,602282.8
609921,50.310,0,601915.1
615021,50.275,0,601562.4
620121,50.239,0,601196.5
625221,50.204,0,600846.2
630321,50.168,0,600484.0
635421,50.134,0,600138.1
640521,50.098,0,599781.3
645621,50.064,0,599441.5
650721,50.030,0,599091.9
655821,49.997,0,598759.9
660921,49.963,0,598419.4
666021,49.931,0,598096.9
671121,49.898,0,597767.0
676221,49.867,0,597455.6
681321,49.835,0,597138.2
686421,49.806,0,596839.5
691521,49.775,0,596536.1
696621,49.747,0,596251.6
701721,49.718,0,595963.8
706821,49.692,0,595695.0
711921,49.665,0,595424.1
717021,49.640,0,595172.4
722121,49.615,0,594919.9
727221,49.592,0,594686.5
732321,49.568,0,594453.6
737421,49.547,0,594239.6
742521,49.526,0,594027.7
747621,49.507,0,593834.3
752721,49.488,0,593644.2
757821,49.471,0,593472.4
762921,49.454,0,593305.2
768021,49.439,0,593155.8
773121,49.425,0,593012.4
778221,49.412,0,592886.1
783321,49.401,0,592767.1
788421,49.390,0,592664.6
793521,49.381,0,592570.8
798621,49.373,0,592492.6
803721,49.367,0,592424.2
808821,49.361,0,592370.9
813924,49.357,0,592328.4
819024,49.354,0,592300.0
824124,49.353,0,592283.6
829224,49.352,0,592280.4
834324,49.353,0,592290.1
844524,49.359,0,592347.9
849624,49.364,0,592395.0
854724,49.370,0,592456.8
859824,49.377,0,592528.6
864924,49.386,0,592616.1
870024,49.395,0,592712.4
875124,49.406,0,592825.0
885324,49.432,0,593082.5
890424,49.446,0,593226.1
895524,49.462,0,593387.3
900624,49.479,0,593553.5
905724,49.497,0,593737.9
910824,49.516,0,593925.9
915924,49.536,0,594132.4
921024,49.557,0,594341.1
926124,49.580,0,594568.8
931224,49.603,0,594797.4
936324,49.627,0,595044.9
941424,49.652,0,595292.1
946524,49.678,0,595558.5
951624,49.705,0,595823.0
956724,49.733,0,596106.7
961824,49.761,0,596387.2
966924,49.790,0,596686.9
972024,49.820,0,596982.1
977124,49.851,0,597296.1
982224,49.882,0,597604.4
987324,49.914,0,597931.2
992424,49.946,0,598251.0
997524,49.980,0,598589.0
1002624,50.012,0,598918.8
1007724,50.047,0,599266.2
1012824,50.080,0,599604.2
1017924,50.116,0,599959.4
1023024,50.150,0,600303.9
1033224,50.221,0,601014.2
1038324,50.257,0,601379.2
1043424,50.292,0,601731.6
1048524,50.328,0,602098.9
1053624,50.235,0,601161.3
1058724,49.187,0,590622.8
1063824,48.156,0,580248.5
1068924,47.063,0,569256.6
1074024,45.985,0,558417.4
1079124,44.835,0,546851.7
1094450,41.234,0,510633.6
1099550,39.893,0,497145.4
1104650,38.518,0,483307.8
1109750,36.984,0,467880.9
1114850,35.339,0,451341.1
1119950,33.446,0,432297.0
1125050,31.240,0,410115.4
1130150,28.380,0,381345.2
1135250,24.291,0,340216.8
1140350,16.311,0,259958.5
1145454,12.493,0,221560.0
1150554,12.493,0,221560.0
1155654,12.493,0,221560.0
1160754,12.493,0,221560.0
1165854,12.493,0,221560.0
1170954,12.493,0,221560.0
1176054,12.493,0,221560.0
1181154,12.493,0,221560.0
1186254,12.493,0,221560.0
1191354,12.493,0,221560.0
1201554,12.493,0,221560.0
1206654,12.493,0,221560.0
1211754,12.493,0,221560.0
1216854,12.493,0,221560.0
1221954,12.493,0,221560.0
1227054,12.493,0,221560.0
1232154,12.493,0,221560.0
1237254,12.493,0,221560.0
1242354,12.493,0,221560.0
1247454,12.493,0,221560.0
1252554,12.493,0,221560.0
1257654,12.493,0,221560.0
1262754,12.493,0,221560.0
