# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,137,26005350,101069,136057,189820,347567,2523477229824,63168129,6316812208,18419541823,840612550033
single,dive.deco_schedule.rate,2935,639830,218,218,218,218,16923917749827892,13625,1362547,5766241141338,13625114091679005
single,dive.display_refresh,739,52518616,1021,21890,71067,1924156,136233291357209,638812,136812528,184348161511,120235375600101
single,dive.o2_tox,42,11172,266,266,266,266,166251509438989,16625,1662518,3958369272356,166251024998467
single,dive.o2_tox.rate,3346,782964,234,234,234,234,5328306826586684,14625,14625,1592440773038,1462583532784336
single,dive.rate_and_logging,2423,31425569,148,12031,12969,14750,5349528027249404660,751562,921875,2207811814795462,921875502120095353
single,flash.init.reset_pos,4,52164,13041,13041,13041,13041,83951405,815062,815062,20987851,81506219
single,flash.log.rate,687,142503,29,209,207,209,14736108886,13062,1306275,21449940,1306250207
single,flash.serial.write,4,50436,12609,12609,12609,12609,81170405,788062,788062,20292601,78806219
single,task.mode.tick.loop,284,271022906,435306,766450,954306,2964351,7111898626797229680774540800733501347284757469864885442285393887298978955141074666369539,27489062,65363125834,25041896573229681974558242256103877983397033344594667050300682701756968151905192487216,3390931212998922606128112811281431108066761281128143134787756128112814315977075612811281
