time_ms,depth_m
4502,0.551
4910,0.689
5114,0.758
5522,0.895
5726,0.964
6134,1.102
6338,1.171
6746,1.308
6950,1.377
7358,1.515
7562,1.584
7970,1.722
8174,1.790
8582,1.928
8786,1.997
9194,2.135
9602,2.341
9806,2.410
10010,2.479
10214,2.548
10418,2.617
10622,2.686
10826,2.755
11030,2.823
11234,2.892
11438,2.961
11642,3.030
11846,3.099
12050,3.168
12254,3.237
12458,3.306
12662,3.374
12866,3.443
13070,3.512
13274,3.581
13478,3.650
13682,3.719
13886,3.788
14090,3.856
14294,3.925
14498,3.994
14702,4.063
14906,4.132
15110,4.201
15314,4.270
15518,4.338
15722,4.407
15926,4.476
16130,4.545
16334,4.614
16538,4.683
16742,4.752
16946,4.821
17150,4.889
17354,4.958
17558,5.027
17762,5.096
17966,5.165
18170,5.234
18374,5.303
18578,5.371
18782,5.440
18986,5.509
19190,5.578
19394,5.647
19598,5.785
19802,5.854
20006,5.922
20210,5.991
20414,6.060
20822,6.198
21026,6.267
21230,6.336
21434,6.404
21638,6.473
21842,6.542
22046,6.611
22250,6.680
22454,6.749
22658,6.818
22862,6.886
23066,6.955
23270,7.024
23474,7.093
23678,7.162
23882,7.231
24086,7.300
24290,7.369
24494,7.437
24698,7.506
24902,7.575
25106,7.644
25310,7.713
25514,7.782
25718,7.851
25922,7.919
26126,7.988
26330,8.057
26534,8.126
26738,8.195
26942,8.264
27146,8.333
27350,8.402
27554,8.470
27758,8.539
27962,8.608
28166,8.677
28370,8.746
28574,8.815
28778,8.884
28982,8.952
29186,9.021
29390,9.090
29594,9.159
29798,9.297
30002,9.366
30206,9.434
30410,9.503
30614,9.572
30818,9.641
31022,9.710
31226,9.779
31430,9.848
31634,9.917
31838,9.985
32042,10.054
32246,1.123
32450,10.192
32654,10.261
32858,1.330
33062,10.399
33266,10.467
33470,1.536
33674,10.605
33878,10.674
34082,1.743
34286,10.812
34490,10.881
34694,1.950
34898,11.018
35102,11.087
35306,11.156
35510,11.225
35714,11.294
35918,11.363
36122,11.432
36326,11.500
36530,11.569
36734,11.638
36938,11.707
37142,11.776
37346,11.845
37550,11.914
37754,11.982
37958,12.051
38162,12.120
38374,12.189
38578,12.258
38782,12.327
38986,12.396
39190,12.465
39394,12.533
39598,12.671
39802,12.740
40006,12.809
40210,12.878
40414,12.947
40618,13.015
40822,13.084
41026,13.153
41230,13.222
41434,13.291
41638,13.360
41842,13.429
42046,13.498
42250,13.566
42454,13.635
42658,13.704
42862,13.773
43066,13.842
43270,13.911
43474,13.980
43678,14.048
43882,14.117
44086,14.186
44290,14.255
44494,14.324
44698,14.393
44902,14.462
45106,14.530
45310,14.599
45514,14.668
45718,14.737
45922,14.806
46126,14.875
46330,14.944
46534,15.013
46738,15.081
46942,15.150
47146,15.219
47350,15.288
47554,15.357
47758,15.426
47962,15.495
48166,15.563
48370,15.632
48574,15.701
48778,15.770
48982,15.839
49186,15.908
49390,15.977
49594,16.046
49798,16.183
50002,16.252
50206,16.321
50410,16.390
50614,16.459
50818,16.528
51022,16.596
51226,16.665
51430,16.734
51634,16.803
51838,16.872
52042,16.941
52450,17.078
52654,17.147
52858,17.216
53062,17.285
53266,17.354
53470,17.423
53674,17.492
53878,17.561
54082,17.629
54286,17.698
54490,17.767
54694,17.836
54898,17.905
55102,17.974
55306,18.043
55510,18.111
55714,18.180
55918,18.249
56122,18.318
56326,18.387
56530,18.456
56734,18.525
56938,18.594
57142,18.662
57346,18.731
57550,18.800
57754,18.869
57958,18.938
58162,19.007
58366,19.076
58570,19.144
58774,19.213
58978,19.282
59182,19.351
59386,19.420
59590,19.489
59794,19.558
59998,19.695
60202,19.764
60406,19.833
60610,19.902
60814,19.971
61018,2.040
61222,20.109
61426,20.177
61630,2.246
61834,20.315
62038,20.384
62242,2.453
62446,20.522
62650,20.591
62855,2.659
63059,20.728
63286,20.797
