# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,138,54543442,101773,261433,395242,885810,7574701247721,9311687,9445656726,54889139476,1633981240011
single,dive.deco_schedule.rate,14296,26273460,1222,1802,1837,1941,11262531404228092428336800014364568108854,111812,11950065,787809975113884473162898713931489095,11262531404228092315711404237851041162894
single,dive.display_refresh,1134,520304056,218,21989,458821,3038162,112738819895015,13775,666062482,99416948761,13843337520161
single,dive.o2_tox,136,35904,264,264,264,264,1558873646,16500,1650072,11462306,165008142
single,dive.o2_tox.rate,14035,26025090,1116,1819,1854,1946,2010654640133,113437,11368777,143260038,120812100052
single,dive.rate_and_logging,4713,62761599,1171,13578,13316,14577,9358894667305,755187,742687208,1985761652,893250300248
single,flash.init.reset_pos,3,39057,13019,13019,13019,13019,82996093,813687,813687,27665364,81368719
single,flash.point.write,10,175830,17583,17583,17583,17583,5727662767,1098937,604415612,572766276,1098937815
single,flash.serial.write,1,12588,12588,12588,12588,12588,78675019,78675019,78675019,78675019,78675019
single,task.mode.tick.loop,644,1398963537,4507,2082950,2172303,4923420,335929323000026925301411362892087097726195998543,28126687,103802312266,521629383540414480281694662875911642431981364,332570629249969968339969969967988996996336996996
