time_ms,depth_m
4517,0.551
4925,0.689
5129,0.758
5537,0.895
5741,0.964
6149,1.102
6353,1.171
6761,1.308
6965,1.377
7373,1.515
7577,1.584
7985,1.722
8189,1.790
8597,1.928
8801,1.997
9209,2.204
9617,2.341
9821,2.410
10025,2.479
10229,2.548
10433,2.617
10637,2.686
10841,2.755
11045,2.823
11249,2.892
11453,2.961
11657,3.030
11861,3.099
12065,3.168
12269,3.237
12473,3.306
12677,3.374
12881,3.443
13085,3.512
13289,3.581
13493,3.650
13697,3.719
13901,3.788
14105,3.856
14309,3.925
14513,3.994
14717,4.063
14921,4.132
15125,4.201
15329,4.270
15533,4.338
15737,4.407
15941,4.476
16145,4.545
16349,4.614
16553,4.683
16757,4.752
16961,4.821
17165,4.889
17369,4.958
17573,5.027
17777,5.096
17981,5.165
18185,5.234
18389,5.303
18593,5.371
18797,5.440
19001,5.509
19205,5.578
19409,5.716
19613,5.785
19817,5.854
20021,5.922
20225,5.991
20429,6.060
20633,6.129
20837,6.198
21041,6.267
21245,6.336
21449,6.404
21653,6.473
21857,6.542
22061,6.611
22265,6.680
22469,6.749
22673,6.818
22877,6.886
23081,6.955
23285,7.024
23489,7.093
23897,7.231
24101,7.300
24305,7.369
24509,7.437
24713,7.506
24917,7.575
25121,7.644
25325,7.713
25529,7.782
25733,7.851
25937,7.919
26141,7.988
26345,8.057
26549,8.126
26957,8.264
27161,8.333
27365,8.402
27569,8.470
27773,8.539
27977,8.608
28181,8.677
28385,8.746
28589,8.815
28793,8.884
28997,8.952
29201,9.021
29405,9.090
29609,9.228
29813,9.297
30017,9.366
30221,9.434
30425,9.503
30629,9.572
30833,9.641
31037,9.710
31241,9.779
31445,9.848
31649,9.917
31853,9.985
32057,10.054
32261,1.123
32465,10.192
32669,10.261
32873,1.330
33077,10.399
33281,10.467
33485,1.536
33689,10.605
33893,10.674
34097,1.743
34301,10.812
34505,10.881
34709,1.950
34913,11.018
35117,11.087
35321,11.156
35525,11.225
35729,11.294
35933,11.363
36137,11.432
36341,11.500
36545,11.569
36749,11.638
36953,11.707
37157,11.776
37361,11.845
37565,11.914
37769,11.982
37973,12.051
38177,12.120
38390,12.189
38594,12.258
38798,12.327
39002,12.396
39206,12.465
39410,12.602
39614,12.671
39818,12.740
40022,12.809
40226,12.878
40430,12.947
40634,13.015
40838,13.084
41042,13.153
41246,13.222
41450,13.291
41654,13.360
41858,13.429
42062,13.498
42266,13.566
42470,13.635
42674,13.704
42878,13.773
43082,13.842
43286,13.911
43490,13.980
43694,14.048
43898,14.117
44102,14.186
44306,14.255
44510,14.324
44714,14.393
44918,14.462
45122,14.530
45326,14.599
45530,14.668
45734,14.737
45938,14.806
46142,14.875
46346,14.944
46550,15.013
46754,15.081
46958,15.150
47162,15.219
47366,15.288
47570,15.357
47774,15.426
47978,15.495
48182,15.563
48386,15.632
48590,15.701
48794,15.770
48998,15.839
49202,15.908
49406,15.977
49610,16.114
49814,16.183
50018,16.252
50222,16.321
50426,16.390
50630,16.459
50834,16.528
51038,16.596
51242,16.665
51446,16.734
51650,16.803
51854,16.872
52058,16.941
52466,17.078
52670,17.147
52874,17.216
53078,17.285
53282,17.354
53486,17.423
53894,17.561
54098,17.629
54302,17.698
54506,17.767
54710,17.836
54914,17.905
55118,17.974
55322,18.043
55526,18.111
55730,18.180
55934,18.249
56138,18.318
56342,18.387
56546,18.456
56750,18.525
56954,18.594
57158,18.662
57362,18.731
57566,18.800
57770,18.869
57974,18.938
58178,19.007
58586,19.144
58790,19.213
58994,19.282
59198,19.351
59402,19.420
59606,19.489
59810,19.626
60014,19.695
60218,19.764
60422,19.833
60626,19.902
60830,19.971
61034,2.040
61442,20.177
61646,2.246
61850,20.315
62054,20.384
62258,2.453
62462,20.522
62666,20.591
62870,2.659
63074,20.728
63305,20.797
63509,2.866
63713,20.935
63917,21.004
64121,21.073
64529,21.210
64733,21.279
64937,21.348
65141,21.417
65345,21.486
65549,21.555
65753,21.624
65957,21.692
66161,21.761
66365,21.830
66569,21.899
66773,21.968
66977,22.037
67181,22.106
67589,22.243
67793,22.312
67997,22.381
68201,22.450
68405,22.519
68609,22.657
68813,22.725
69017,22.794
69221,22.863
69425,22.932
69629,23.001
69833,23.070
70037,23.139
70241,23.207
70445,23.276
70649,23.345
70853,23.414
71057,23.483
71261,23.552
71465,23.621
71669,23.689
71873,23.758
72077,23.827
72281,23.896
72485,23.965
72689,24.034
72893,24.103
73097,24.172
73301,24.240
73505,24.309
73709,24.378
73913,24.447
74117,24.516
74321,24.585
74525,24.654
74729,24.722
74933,24.791
75137,24.860
75341,24.929
75545,24.998
75749,25.067
75953,25.136
76157,25.205
76361,25.273
76565,25.342
76769,25.411
76973,25.480
77177,25.549
77381,25.618
77585,25.687
77789,25.755
77993,25.824
78197,25.893
78401,25.962
78605,26.031
78809,26.169
79013,26.238
79217,26.306
79421,26.375
79625,26.444
79829,26.513
80237,26.651
80441,26.720
80645,26.788
80849,26.857
81053,26.926
81257,26.995
81461,27.064
81665,27.133
81869,27.202
82073,27.270
82277,27.339
82481,27.408
82685,27.477
82889,27.546
83093,27.615
83297,27.684
83501,27.753
83705,27.821
83909,27.890
84113,27.959
84317,28.028
84521,28.097
84725,28.166
84929,28.235
85133,28.303
85337,28.372
85541,28.441
85745,28.510
85949,28.579
86153,28.648
86357,28.717
86561,28.786
86765,28.854
86969,28.923
87173,28.992
87377,29.061
87581,29.130
87785,29.199
87989,29.268
88193,29.336
88397,29.405
88601,29.474
88805,29.543
89213,29.750
89417,29.818
89621,29.887
89825,29.956
90029,30.025
90233,30.094
90437,3.163
90641,30.232
90845,30.301
91049,3.369
91253,30.438
91457,30.507
91661,3.576
91865,30.645
92069,30.714
