# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,9,913689,101521,101521,101521,101521,14847446372,63450625,634506243,1649716263,6345062656
single,dive.deco_schedule.rate,2036,3685401,1794,1809,1810,1935,585174452740,112750,11306281,287413778,113062600011
single,dive.display_refresh,125,46632707,311,10311,373061,3272202,3189827121731,640812,66818778,25518616973,1898597507236
single,dive.o2_tox,2,530,265,265,265,265,18218941,1656275,9109470,9109470,16562666
single,dive.o2_tox.rate,1841,3362310,1124,1827,1826,1842,379332695100,114187,11418774,206047091,114187600011
single,dive.rate_and_logging,620,7576202,11854,12070,12219,13939,1625924280161,754375,75475097,2622458516,754375500050
single,flash.control.write,1,45188,45188,45188,45188,45188,2824250,2824250,2824250,2824250,2824250
single,flash.init.reset_pos,4,52240,13060,13060,13060,13060,164882609,816250,41220636,41220652,81625087
single,flash.serial.write,4,50524,12631,12631,12631,12631,81312033,789437,789437,20328008,78943722
single,task.mode.tick.loop,49,72618494,43036,1421849,1482010,4449608,11977576075382,32744562,28179375536,244440328069,2781005007250
