time_ms,depth_m
420,50.998
4529,0.551
4937,0.689
5141,0.758
5549,0.895
5753,0.964
6161,1.102
6365,1.171
6773,1.308
6977,1.377
7385,1.515
7589,1.584
7997,1.722
8201,1.790
8609,1.928
8813,1.997
9221,2.204
9629,2.341
9833,2.410
10037,2.479
10241,2.548
10445,2.617
10649,2.686
10853,2.755
11057,2.823
11261,2.892
11465,2.961
11669,3.030
11873,3.099
12077,3.168
12281,3.237
12485,3.306
12689,3.374
12893,3.443
13097,3.512
13301,3.581
13505,3.650
13709,3.719
13913,3.788
14117,3.856
14321,3.925
14525,3.994
14933,4.132
15137,4.201
15341,4.270
15545,4.338
15749,4.407
15953,4.476
16157,4.545
16361,4.614
16565,4.683
16769,4.752
16973,4.821
17177,4.889
17381,4.958
17585,5.027
17789,5.096
17993,5.165
18197,5.234
18401,5.303
18605,5.371
18809,5.440
19013,5.509
19217,5.578
19421,5.716
19625,5.785
19723,50.821
19829,5.854
20033,5.922
20237,5.991
20441,6.060
20645,6.129
20849,6.198
21053,6.267
21257,6.336
21461,6.404
21665,6.473
21869,6.542
22073,6.611
22277,6.680
22481,6.749
22685,6.818
22889,6.886
23093,6.955
23297,7.024
23501,7.093
23705,7.162
23909,7.231
24113,7.300
24317,7.369
24521,7.437
24725,7.506
24929,7.575
25133,7.644
25337,7.713
25541,7.782
25745,7.851
25949,7.919
26153,7.988
26357,8.057
26561,8.126
26765,8.195
26969,8.264
27173,8.333
27377,8.402
27581,8.470
27785,8.539
27989,8.608
28193,8.677
28397,8.746
28601,8.815
28805,8.884
29009,8.952
29213,9.021
29417,9.090
29621,9.228
29825,9.297
30029,9.366
30233,9.434
30437,9.503
30641,9.572
30845,9.641
31049,9.710
31253,9.779
31457,9.848
31661,9.917
31865,9.985
32069,10.054
32273,1.123
32477,10.192
32681,10.261
32885,1.330
33089,10.399
33293,10.467
33497,1.536
33701,10.605
33905,10.674
34109,1.743
34313,10.812
34517,10.881
34721,1.950
34925,11.018
35129,11.087
35333,11.156
35537,11.225
35741,11.294
35945,11.363
36149,11.432
36353,11.500
36557,11.569
36761,11.638
36965,11.707
37169,11.776
37373,11.845
37577,11.914
37781,11.982
37985,12.051
38189,12.120
38393,12.189
38597,12.258
38801,12.327
39005,12.396
39209,12.465
39413,12.533
39617,12.602
39821,12.740
40025,12.809
40229,12.878
40433,12.947
40637,13.015
40841,13.084
41045,13.153
41249,13.222
41453,13.291
41657,13.360
41861,13.429
42065,13.498
42269,13.566
42473,13.635
42677,13.704
42881,13.773
43085,13.842
43289,13.911
43493,13.980
43697,14.048
43901,14.117
44105,14.186
44309,14.255
44513,14.324
44717,14.393
44921,14.462
45125,14.530
45329,14.599
45533,14.668
45737,14.737
45941,14.806
46145,14.875
46349,14.944
46553,15.013
46757,15.081
46961,15.150
47165,15.219
47369,15.288
47573,15.357
47777,15.426
47981,15.495
48185,15.563
48389,15.632
48593,15.701
48797,15.770
49001,15.839
49205,15.908
49409,15.977
49613,16.046
49817,16.114
50021,16.252
50225,16.321
50429,16.390
50633,16.459
50837,16.528
51041,16.596
51245,16.665
51449,16.734
51653,16.803
51857,16.872
52061,16.941
52469,17.078
52673,17.147
52877,17.216
53081,17.285
53285,17.354
53489,17.423
53693,17.492
53897,17.561
54101,17.629
54305,17.698
54509,17.767
54713,17.836
54917,17.905
55121,17.974
55325,18.043
55529,18.111
55733,18.180
55937,18.249
56141,18.318
56345,18.387
56549,18.456
56753,18.525
56957,18.594
57161,18.662
57365,18.731
57569,18.800
57773,18.869
57977,18.938
58181,19.007
58589,19.144
58793,19.213
58997,19.282
59201,19.351
59405,19.420
59609,19.489
59813,19.558
60017,19.626
60221,19.764
60425,19.833
60629,19.902
60833,19.971
61037,2.040
61241,20.109
61445,20.177
61649,2.246
61853,20.315
62057,20.384
62261,2.453
62465,20.522
62669,20.591
62877,2.659
63081,20.728
63365,20.797
63569,2.866
63773,20.935
63977,21.004
64181,21.073
64385,21.142
64589,21.210
64793,21.279
64997,21.348
65201,21.417
65405,21.486
65609,21.555
65813,21.624
66017,21.692
66221,21.830
66425,21.899
66629,21.968
66833,22.037
67037,22.106
67241,22.174
67445,22.243
67649,22.312
67853,22.381
68057,22.450
68261,22.519
68465,22.588
68669,22.657
68873,22.725
69077,22.794
69281,22.863
69485,22.932
69689,23.001
69893,23.070
70097,23.139
70301,23.207
70505,23.276
70709,23.345
70913,23.414
71321,23.552
71525,23.621
71729,23.689
71933,23.758
72137,23.827
72341,23.896
72545,23.965
72749,24.034
72953,24.103
73157,24.172
73361,24.240
73565,24.309
