# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,144,24261814,101678,134443,168484,349461,10271366201467,63548753,6354875626,71328931954,8537625700018
single,dive.deco_schedule.rate,8879,16650613,1231,1925,1875,1950,244966446050183,112875,12031268,27589418408,120125723711086
single,dive.display_refresh,781,269444594,1024,21978,344999,3032748,37413225049716,66650,666250512,47904257426,1848889376281
single,dive.o2_tox,73,19345,265,265,265,265,351504682,16562,1656241,4815132,16562894
single,dive.o2_tox.rate,8402,15867697,1482,1941,1888,1955,29929896689143,113875,12131225,3562234788,12206275484926
single,dive.rate_and_logging,2852,36994971,11797,12012,12971,14768,4098518455113,750312,92300084,1437068182,923000100046
single,flash.init.reset_pos,2,26254,13127,13127,13127,13127,82864155,820437,41432077,41432077,82043718
single,flash.point.write,9,159597,17733,17733,17733,17733,3338349998988,1108312,1108312518,370927777665,1108312400048
single,flash.serial.write,1,12695,12695,12695,12695,12695,79343718,79343718,79343718,79343718,79343718
single,task.mode.tick.loop,491,887562544,412811,1650427,1807663,4647969,270553012194544609364409394,26944875,90047937776,551024464754673338827717,269393123007300843008430084
