time_ms,depth_m
4500,0.551
4908,0.689
5112,0.758
5520,0.895
5724,0.964
6132,1.102
6336,1.171
6744,1.308
6948,1.377
7356,1.515
7560,1.584
7968,1.722
8172,1.790
8580,1.928
8784,1.997
9192,2.204
9600,2.341
9804,2.410
10008,2.479
10212,2.548
10416,2.617
10620,2.686
10824,2.755
11028,2.823
11232,2.892
11436,2.961
11640,3.030
11844,3.099
12048,3.168
12252,3.237
12456,3.306
12660,3.374
12864,3.443
13068,3.512
13272,3.581
13476,3.650
13680,3.719
13884,3.788
14088,3.856
14292,3.925
14496,3.994
14700,4.063
14904,4.132
15108,4.201
15312,4.270
15516,4.338
15720,4.407
15924,4.476
16128,4.545
16332,4.614
16536,4.683
16740,4.752
16944,4.821
17148,4.889
17352,4.958
17556,5.027
17760,5.096
17964,5.165
18168,5.234
18372,5.303
18576,5.371
18780,5.440
18984,5.509
19188,5.578
19392,5.716
19596,5.785
19800,5.854
20004,5.922
20208,5.991
20412,6.060
20820,6.198
21024,6.267
21228,6.336
21432,6.404
21636,6.473
21840,6.542
22044,6.611
22248,6.680
22452,6.749
22656,6.818
22860,6.886
23064,6.955
23268,7.024
23472,7.093
23676,7.162
23880,7.231
24084,7.300
24288,7.369
24492,7.437
24696,7.506
24900,7.575
25104,7.644
25308,7.713
25512,7.782
25716,7.851
25920,7.919
26124,7.988
26328,8.057
26532,8.126
26736,8.195
26940,8.264
27144,8.333
27348,8.402
27552,8.470
27756,8.539
27960,8.608
28164,8.677
28368,8.746
28572,8.815
28776,8.884
28980,8.952
29184,9.021
29388,9.090
29592,9.228
29796,9.297
30000,9.366
30204,9.434
30408,9.503
30612,9.572
30816,9.641
31020,9.710
31224,9.779
31428,9.848
31632,9.917
31836,9.985
32040,10.054
32244,1.123
32448,10.192
32652,10.261
32856,1.330
33060,10.399
33264,10.467
33468,1.536
33672,10.605
33876,10.674
34080,1.743
34284,10.812
34488,10.881
34692,1.950
34896,11.018
35100,11.087
35304,11.156
35508,11.225
35712,11.294
35916,11.363
36120,11.432
36324,11.500
36528,11.569
36732,11.638
