# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,90,30475343,101358,149067,338614,884201,2710242697075,63348753,6334875411,30113807745,550817505086
single,dive.deco_schedule.rate,16091,29643550,1226,1804,1842,1946,11980703447796963,76625,12000021,744559284556,11975031478787375
single,dive.display_refresh,939,478387060,1559,21996,509464,3036208,107929009762242,659937,1325375463,114940372483,13830581250140
single,dive.o2_tox,130,34710,267,267,267,267,1167179835,16687,1668760,8978306,166879034
single,dive.o2_tox.rate,13279,24706189,1120,1824,1860,1955,3533007328054,113125,11400085,266059743,1140003000016
single,dive.rate_and_logging,4089,54478736,11817,13561,13323,14580,6345888475590,738875,752062102,1551941422,752375600340
single,flash.init.reset_pos,4,52116,13029,13029,13029,13029,164491084,814312,41122765,41122771,81431241
single,flash.point.write,5,88000,17600,17600,17600,17600,3411101991,1100000,1100000610,682220398,1100000704
single,flash.serial.write,1,12599,12599,12599,12599,12599,78743719,78743719,78743719,78743719,78743719
single,task.mode.tick.loop,499,1165531475,431043,2213227,2335734,4937278,269475158986952114062700375,33179750,88928375880,540030378731366962049499,269421251012210151019010190
