# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,60,6110340,101839,101839,101839,101839,188847697961,63649373,636493783,3147461632,6364937945
single,dive.deco_schedule.rate,1858,405044,218,218,218,218,54204562391,13625,1362579,29173607,13625800011
single,dive.display_refresh,352,129102775,1258,10634,366769,3014594,146642006196415,66465,641125527,416596608512,118621187500307
single,dive.o2_tox,53,14204,268,268,268,268,273453139,16750,1675078,5159493,16750941
single,dive.o2_tox.rate,1833,434421,237,237,237,237,59686815903,14812,1481270,32562365,14812500054
single,dive.rate_and_logging,600,7334839,12084,12084,12224,13967,1231023431514,755250,84918797,2051705719,755250600014
single,flash.control.write,1,44938,44938,44938,44938,44938,2808625,2808625,2808625,2808625,2808625
single,flash.init.reset_pos,3,39021,13007,13007,13007,13007,82919587,812937,812937,27639862,81293713
single,flash.point.write,167,2975106,17568,17568,17815,25818,544137998302,1098000,1098000406,3258311367,109800010307
single,flash.serial.write,4,50284,12571,12571,12571,12571,314275023,78568713,78568770,78568755,78568770
single,task.mode.tick.loop,70,115969600,4524,1481973,1656708,3367642,216267432902649,92383500,92320562816,3089534755752,92451375300091
