time_ms,depth_m
4509,0.551
4917,0.689
5121,0.758
5529,0.895
5733,0.964
6141,1.102
6345,1.171
6753,1.308
6957,1.377
7365,1.515
7569,1.584
7977,1.722
8181,1.790
8589,1.928
8793,1.997
9201,2.204
9609,2.341
9813,2.410
10017,2.479
10221,2.548
10425,2.617
10629,2.686
11037,2.823
11241,2.892
11445,2.961
11649,3.030
11853,3.099
12057,3.168
12261,3.237
12465,3.306
12669,3.374
12873,3.443
13077,3.512
13281,3.581
13485,3.650
13689,3.719
13893,3.788
14097,3.856
14301,3.925
14505,3.994
14709,4.063
14913,4.132
15117,4.201
15321,4.270
15525,4.338
15729,4.407
15933,4.476
16137,4.545
16341,4.614
16545,4.683
16749,4.752
16953,4.821
17157,4.889
17361,4.958
17565,5.027
17769,5.096
17973,5.165
18177,5.234
18381,5.303
18585,5.371
18789,5.440
18993,5.509
19197,5.578
19401,5.716
19605,5.785
19809,5.854
20013,5.922
20217,5.991
20421,6.060
20625,6.129
20829,6.198
21033,6.267
21237,6.336
21441,6.404
21645,6.473
21849,6.542
22053,6.611
22257,6.680
22461,6.749
22665,6.818
22869,6.886
23073,6.955
23277,7.024
23481,7.093
23889,7.231
24093,7.300
24297,7.369
24501,7.437
24705,7.506
24909,7.575
25113,7.644
25317,7.713
25521,7.782
25725,7.851
25929,7.919
26133,7.988
26337,8.057
26541,8.126
26745,8.195
26949,8.264
27153,8.333
27357,8.402
27561,8.470
27765,8.539
27969,8.608
28173,8.677
28377,8.746
28581,8.815
28785,8.884
28989,8.952
29193,9.021
29397,9.090
29601,9.228
29805,9.297
30009,9.366
30213,9.434
30417,9.503
30621,9.572
30825,9.641
31029,9.710
31233,9.779
31437,9.848
31641,9.917
31845,9.985
32049,10.054
32253,1.123
32457,10.192
32661,10.261
32865,1.330
33069,10.399
33273,10.467
33477,1.536
33681,10.605
33885,10.674
34089,1.743
34293,10.812
34497,10.881
34701,1.950
34905,11.018
35109,11.087
35313,11.156
35517,11.225
35721,11.294
35925,11.363
36129,11.432
36333,11.500
36537,11.569
36741,11.638
36945,11.707
37149,11.776
37353,11.845
37557,11.914
37761,11.982
37965,12.051
38169,12.120
38373,12.189
38577,12.258
38793,12.327
38997,12.396
39201,12.533
39405,12.602
39609,12.671
39813,12.740
40017,12.809
40221,12.878
40425,12.947
40629,13.015
40833,13.084
41037,13.153
41241,13.222
41445,13.291
41649,13.360
41853,13.429
42057,13.498
42261,13.566
42465,13.635
42669,13.704
42873,13.773
43077,13.842
43281,13.911
43485,13.980
43689,14.048
43893,14.117
44097,14.186
44301,14.255
44505,14.324
44709,14.393
44913,14.462
45117,14.530
45321,14.599
45525,14.668
45729,14.737
45933,14.806
46137,14.875
46341,14.944
46545,15.013
46749,15.081
46953,15.150
47157,15.219
47361,15.288
47565,15.357
47769,15.426
47973,15.495
48177,15.563
48381,15.632
48585,15.701
48789,15.770
49005,15.908
49209,15.977
49413,16.046
49617,16.114
49821,16.183
50025,16.252
50229,16.321
50433,16.390
50637,16.459
50841,16.528
51045,16.596
51249,16.665
51453,16.734
51657,16.803
51861,16.872
52065,16.941
52269,17.010
52473,17.078
52677,17.147
52881,17.216
53085,17.285
53289,17.354
53493,17.423
53697,17.492
53901,17.561
54117,17.629
54321,17.698
54525,17.767
54729,17.836
54933,17.905
55137,17.974
55341,18.043
55545,18.111
55749,18.180
55953,18.249
56157,18.318
56361,18.387
56565,18.456
56769,18.525
56973,18.594
57177,18.662
57381,18.731
57585,18.800
57789,18.869
57993,18.938
58197,19.007
58401,19.144
58605,19.213
58809,19.282
59013,19.351
59228,19.420
59432,19.489
59636,19.558
59840,19.626
60044,19.695
60248,19.764
60452,19.833
60656,19.902
60860,19.971
61064,2.040
61268,20.109
61472,20.177
61676,2.246
61880,20.315
62084,20.384
62288,2.453
62492,20.522
62696,20.591
62900,2.659
63104,20.728
63331,20.797
63535,2.866
63739,20.935
63943,21.004
64147,21.073
64362,21.142
64566,21.210
64770,21.279
64974,21.348
65178,21.417
65382,21.486
65586,21.555
65790,21.624
65994,21.692
66198,21.761
66402,21.899
66606,21.968
66810,22.037
67014,22.106
67422,22.243
67626,22.312
67830,22.381
68034,22.450
68238,22.519
68442,22.588
68646,22.657
68850,22.725
69054,22.794
69258,22.863
69474,22.932
69678,23.001
69882,23.070
70086,23.139
70494,23.276
70698,23.345
70902,23.414
71106,23.483
71310,23.552
71514,23.621
71718,23.689
71922,23.758
72126,23.827
72330,23.896
72534,23.965
72738,24.034
72942,24.103
73146,24.172
73350,24.240
73554,24.309
73758,24.378
73962,24.447
74166,24.516
74370,24.585
74585,24.654
74789,24.722
74993,24.791
75197,24.860
75401,24.998
75605,25.067
75809,25.136
76013,25.205
76217,25.273
76421,25.342
76625,25.411
76829,25.480
77033,25.549
77237,25.618
77441,25.687
77645,25.755
77849,25.824
78053,25.893
78257,25.962
78461,26.031
78665,26.100
78869,26.169
79073,26.238
79277,26.306
79481,26.375
79697,26.444
79901,26.513
80309,26.651
80513,26.720
80717,26.788
80921,26.857
81125,26.926
81329,26.995
81533,27.064
81737,27.133
81941,27.202
82145,27.270
82349,27.339
82553,27.408
82757,27.477
82961,27.546
83165,27.615
83369,27.684
83573,27.753
83777,27.821
83981,27.890
84185,27.959
84389,28.028
84593,28.097
84808,28.235
85012,28.303
85216,28.372
85420,28.441
85624,28.510
85828,28.579
86032,28.648
86236,28.717
86440,28.785
86644,28.854
86848,28.923
87052,28.992
87256,29.061
87460,29.130
87664,29.199
87868,29.268
88072,29.336
88276,29.405
88480,29.474
88684,29.543
88888,29.612
89092,29.681
89296,29.750
89500,29.818
89704,29.887
89920,29.956
90124,30.025
90328,30.094
90532,3.163
90736,30.232
90940,30.301
91144,3.369
91348,30.438
91552,30.507
91756,3.576
91960,30.645
92164,30.714
92368,3.783
92572,30.851
92776,30.920
92980,3.989
93184,31.058
93388,31.127
93592,31.196
93796,31.265
94000,31.333
94204,31.471
94408,31.540
94612,31.609
94816,31.678
95032,31.747
95236,31.816
95440,31.884
95644,31.953
95848,32.022
96052,32.091
96256,32.160
96460,32.229
96868,32.366
97072,32.435
97276,32.504
97480,32.573
97684,32.642
97888,32.711
98092,32.780
98296,32.849
98500,32.917
98704,32.986
98908,33.055
99112,33.124
99316,33.193
99520,33.262
99928,33.399
100144,33.468
100348,33.537
100552,33.606
100756,33.675
100960,33.744
101164,33.813
101368,33.881
101776,34.019
101980,34.088
102388,34.226
102592,34.295
103000,34.432
103204,34.570
103408,34.639
103612,34.708
103816,34.777
104020,34.846
104224,34.914
104428,34.983
104632,35.052
104836,35.121
105040,35.190
105256,35.259
105460,35.328
105664,35.397
105868,35.465
106072,35.534
106276,35.603
106480,35.672
106684,35.741
106888,35.810
107092,35.879
107296,35.947
107500,36.016
107704,36.085
107908,36.154
108112,36.223
108316,36.292
108520,36.361
108724,36.429
108928,36.498
109132,36.567
109336,36.636
109540,36.705
109744,36.774
109948,36.843
110152,36.912
110368,36.980
110572,37.049
110776,37.118
110980,37.187
111184,37.256
111388,37.325
111592,37.394
111796,37.462
112000,37.531
112204,37.669
112408,37.738
112612,37.807
112816,37.876
113020,37.945
113224,38.013
113428,38.082
113632,38.151
113836,38.220
114040,38.289
114244,38.358
114448,38.427
114652,38.495
114856,38.564
115060,38.633
115264,38.702
115480,38.771
115684,38.840
115888,38.909
116092,38.977
116296,39.046
116500,39.115
116704,39.184
116908,39.253
117112,39.322
117316,39.391
117520,39.460
117724,39.528
117928,39.597
118132,39.666
118336,39.735
118540,39.804
118744,39.873
118948,39.942
119152,40.010
119356,40.079
119560,40.148
119968,40.286
120172,40.355
120376,40.424
120580,40.493
120784,40.561
120988,40.630
121192,40.699
121396,40.768
121600,40.837
121804,40.975
122008,41.043
122212,41.112
122416,41.181
122620,41.250
122824,41.319
123028,41.388
123232,41.457
123436,41.525
123640,41.594
123867,41.663
124071,41.732
124275,41.801
124479,41.870
124683,41.939
125091,42.076
125295,42.145
125499,42.214
125715,42.283
125919,42.352
126123,42.421
126327,42.490
126531,42.558
126735,42.627
126939,42.696
127143,42.765
127347,42.834
127551,42.903
127755,42.972
127959,43.041
128163,43.109
128367,43.178
128571,43.247
128775,43.316
128979,43.385
129183,43.454
129387,43.523
129591,43.591
129795,43.660
129999,43.729
130203,43.867
130407,43.936
130611,44.005
130826,44.073
131030,44.142
131234,44.211
131438,44.280
131642,44.349
131846,44.418
132050,44.487
132254,44.556
132458,44.624
132662,44.693
132866,44.762
133070,44.831
133274,44.900
133478,44.969
133682,45.038
133886,45.106
134090,45.175
134294,45.244
134498,45.313
134702,45.382
134906,45.451
135110,45.520
135314,45.589
135518,45.657
135722,45.726
135926,45.795
136130,45.864
136334,45.933
136538,46.002
136742,46.071
136946,46.139
137150,46.208
137354,46.277
137558,46.346
137762,46.415
137966,46.484
138170,46.553
138374,46.621
138578,46.690
138782,46.759
138986,46.828
139190,46.897
139394,46.966
139598,47.035
139802,47.172
140210,47.310
140414,47.379
140822,47.517
141038,47.586
141446,47.723
141650,47.792
141854,47.861
142058,47.930
142262,47.999
142466,48.068
142670,48.137
142874,48.205
143282,48.343
143486,48.412
143690,48.481
143894,48.550
144098,48.619
144302,48.687
144506,48.756
144710,48.825
144914,48.894
145118,48.963
145322,49.032
145526,49.101
145730,49.169
145934,49.238
146138,49.307
146342,49.376
146546,49.445
146750,49.514
146954,49.583
147158,49.652
147362,49.720
147566,49.789
147770,49.858
147974,49.927
148178,49.996
148382,50.065
148586,50.134
148790,50.202
149198,50.340
149402,50.478
149606,50.547
149810,50.616
150218,50.753
150422,50.822
150626,50.891
150830,50.960
151034,51.029
151442,51.167
151646,51.235
151850,51.304
152054,51.373
152258,51.442
152462,51.511
152666,51.580
152870,51.649
153074,51.717
153278,51.786
153482,51.855
153686,51.924
153890,51.993
154094,52.062
154298,52.131
154502,52.200
154706,52.268
154910,52.337
155114,52.406
155318,52.475
155522,52.544
155726,52.613
155930,52.682
156134,52.750
156349,52.819
156553,52.888
156757,52.957
156961,53.026
157165,53.095
157369,53.164
157573,53.233
157777,53.301
157981,53.370
158185,53.439
158389,53.508
158593,53.577
158797,53.646
159001,53.783
159205,53.852
159409,53.921
159613,53.990
159817,54.059
160021,54.128
160225,54.197
160429,54.265
160633,54.334
160837,54.403
161041,54.472
161245,54.541
161449,54.610
161653,54.679
161857,54.748
162061,54.816
162469,54.954
162673,55.023
162877,55.092
163081,55.161
163285,55.230
163489,55.298
163693,55.367
163897,55.436
164305,55.574
164509,55.643
164917,55.781
165121,55.849
165529,55.987
165733,56.056
165937,56.125
166141,56.194
166345,56.263
166561,56.331
166765,56.400
166969,56.469
167173,56.538
167377,56.607
167581,56.676
167785,56.745
167989,56.813
168193,56.882
168397,56.951
168601,57.089
168805,57.158
169009,57.227
169213,57.296
169417,57.364
169621,57.433
169825,57.502
170029,57.571
170233,57.640
170641,57.778
170845,57.846
171253,57.984
171457,58.053
171876,58.191
172080,58.260
172284,58.329
172488,58.397
172692,58.466
172896,58.535
173100,58.604
173304,58.673
173508,58.742
173712,58.811
173916,58.879
174324,59.017
174528,59.086
174732,59.155
174936,59.224
175140,59.293
175344,59.361
175548,59.430
175752,59.499
175956,59.568
176160,59.637
176364,59.706
176568,59.775
176784,59.844
176988,59.912
177192,59.981
177396,60.050
177600,60.119
177804,60.257
178008,60.326
178212,60.394
178416,60.463
178620,60.532
178824,60.601
179028,60.670
179232,60.739
179436,60.808
179640,60.877
179844,60.945
180048,61.014
180252,61.083
180456,61.152
180660,61.221
180864,61.290
181068,61.359
181272,61.427
181476,61.496
181680,61.565
181895,61.634
182099,61.703
182303,61.772
182507,61.841
182711,61.909
182915,61.978
183119,62.047
183323,62.116
183527,62.185
183731,62.254
183958,62.323
184162,62.392
184366,62.460
184570,62.529
184774,62.598
184978,62.667
185182,62.736
185386,62.805
185590,62.874
185794,62.942
185998,63.011
186406,63.218
186610,63.287
186814,63.356
187030,63.425
187234,63.493
187642,63.631
187846,63.700
