# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,293,101290132,101811,256538,345700,886860,10864653059273,63631875,6363187148,37080727164,554278756049
single,dive.deco_schedule.rate,13604,2979276,219,219,219,219,1368769047073636001,13687,1368778,100615190170070,1368754756085164597
single,dive.display_refresh,2060,583368254,2,21992,283188,3014613,91279589113977,655187,1321500194,44310480152,18841331250207
single,dive.o2_tox,230,61180,266,266,266,266,2658400339,16625,1662576,11558262,166258203
single,dive.o2_tox.rate,13626,3202110,235,235,235,235,14687434773965651027703529566317,14687,1468761,1077897752382625203853187257,14687434773965650880456773970743
single,dive.rate_and_logging,4526,60677128,170,13572,13406,14571,7575830272283,742250,91068790,1673846723,910687200018
single,flash.init.reset_pos,2,25976,12988,12988,12988,12988,81986764,811750,40993382,40993382,81175014
single,flash.point.write,1198,21270990,17556,17556,17755,25794,2418536332302,1097250,1097250105,2018811629,109725050224
single,flash.serial.write,1,12560,12560,12560,12560,12560,78500014,78500014,78500014,78500014,78500014
single,task.mode.tick.loop,515,960097619,431002,1716240,1864267,4678759,3293887570877409497693774690949769378366815461865940651028622,26996125,106647125714,6395898195878465044065581924174309472556923226924156603939,3293887570877409497693774690949769377477477438877477452774774
